Comunidades y Ciudades Autónomas	Viajeros y pernoctaciones	Residencia	Periodo	Total
Total Nacional	Viajero	Total 	2021M08	1.522.343
Total Nacional	Viajero	Total 	2021M07	1.262.010
Total Nacional	Viajero	Total 	2021M06	637.306
Total Nacional	Viajero	Total 	2021M05	345.765
Total Nacional	Viajero	Total 	2021M04	205.867
Total Nacional	Viajero	Total 	2021M03	167.302
Total Nacional	Viajero	Total 	2021M02	100.139
Total Nacional	Viajero	Total 	2021M01	109.649
Total Nacional	Viajero	Total 	2020M12	153.107
Total Nacional	Viajero	Total 	2020M11	113.653
Total Nacional	Viajero	Total 	2020M10	260.193
Total Nacional	Viajero	Total 	2020M09	433.107
Total Nacional	Viajero	Total 	2020M08	964.453
Total Nacional	Viajero	Total 	2020M07	688.700
Total Nacional	Viajero	Total 	2020M06	119.485
Total Nacional	Viajero	Total 	2020M05	15.162
Total Nacional	Viajero	Total 	2020M04	0
Total Nacional	Viajero	Total 	2020M03	197.077
Total Nacional	Viajero	Total 	2020M02	682.518
Total Nacional	Viajero	Total 	2020M01	591.022
Total Nacional	Viajero	Total 	2019M12	715.779
Total Nacional	Viajero	Total 	2019M11	676.928
Total Nacional	Viajero	Total 	2019M10	987.298
Total Nacional	Viajero	Total 	2019M09	1.286.059
Total Nacional	Viajero	Total 	2019M08	1.845.564
Total Nacional	Viajero	Total 	2019M07	1.619.121
Total Nacional	Viajero	Total 	2019M06	1.356.915
Total Nacional	Viajero	Total 	2019M05	1.071.350
Total Nacional	Viajero	Total 	2019M04	962.093
Total Nacional	Viajero	Total 	2019M03	777.521
Total Nacional	Viajero	Total 	2019M02	628.221
Total Nacional	Viajero	Total 	2019M01	552.504
Total Nacional	Viajero	Total 	2018M12	705.050
Total Nacional	Viajero	Total 	2018M11	655.672
Total Nacional	Viajero	Total 	2018M10	984.904
Total Nacional	Viajero	Total 	2018M09	1.303.257
Total Nacional	Viajero	Total 	2018M08	1.734.152
Total Nacional	Viajero	Total 	2018M07	1.607.264
Total Nacional	Viajero	Total 	2018M06	1.326.290
Total Nacional	Viajero	Total 	2018M05	1.057.555
Total Nacional	Viajero	Total 	2018M04	894.266
Total Nacional	Viajero	Total 	2018M03	814.768
Total Nacional	Viajero	Total 	2018M02	632.829
Total Nacional	Viajero	Total 	2018M01	572.883
Total Nacional	Viajero	Residentes en España	2021M08	1.045.798
Total Nacional	Viajero	Residentes en España	2021M07	879.384
Total Nacional	Viajero	Residentes en España	2021M06	487.783
Total Nacional	Viajero	Residentes en España	2021M05	257.896
Total Nacional	Viajero	Residentes en España	2021M04	163.848
Total Nacional	Viajero	Residentes en España	2021M03	129.639
Total Nacional	Viajero	Residentes en España	2021M02	71.776
Total Nacional	Viajero	Residentes en España	2021M01	75.045
Total Nacional	Viajero	Residentes en España	2020M12	95.398
Total Nacional	Viajero	Residentes en España	2020M11	.
Total Nacional	Viajero	Residentes en España	2020M10	195.968
Total Nacional	Viajero	Residentes en España	2020M09	354.397
Total Nacional	Viajero	Residentes en España	2020M08	748.104
Total Nacional	Viajero	Residentes en España	2020M07	506.894
Total Nacional	Viajero	Residentes en España	2020M06	108.093
Total Nacional	Viajero	Residentes en España	2020M05	.
Total Nacional	Viajero	Residentes en España	2020M04	0
Total Nacional	Viajero	Residentes en España	2020M03	61.539
Total Nacional	Viajero	Residentes en España	2020M02	243.027
Total Nacional	Viajero	Residentes en España	2020M01	190.249
Total Nacional	Viajero	Residentes en España	2019M12	291.501
Total Nacional	Viajero	Residentes en España	2019M11	236.062
Total Nacional	Viajero	Residentes en España	2019M10	309.995
Total Nacional	Viajero	Residentes en España	2019M09	480.084
Total Nacional	Viajero	Residentes en España	2019M08	834.401
Total Nacional	Viajero	Residentes en España	2019M07	672.023
Total Nacional	Viajero	Residentes en España	2019M06	545.008
Total Nacional	Viajero	Residentes en España	2019M05	378.883
Total Nacional	Viajero	Residentes en España	2019M04	390.879
Total Nacional	Viajero	Residentes en España	2019M03	272.196
Total Nacional	Viajero	Residentes en España	2019M02	202.033
Total Nacional	Viajero	Residentes en España	2019M01	159.484
Total Nacional	Viajero	Residentes en España	2018M12	279.916
Total Nacional	Viajero	Residentes en España	2018M11	216.671
Total Nacional	Viajero	Residentes en España	2018M10	304.669
Total Nacional	Viajero	Residentes en España	2018M09	482.052
Total Nacional	Viajero	Residentes en España	2018M08	777.595
Total Nacional	Viajero	Residentes en España	2018M07	662.484
Total Nacional	Viajero	Residentes en España	2018M06	511.590
Total Nacional	Viajero	Residentes en España	2018M05	331.768
Total Nacional	Viajero	Residentes en España	2018M04	315.024
Total Nacional	Viajero	Residentes en España	2018M03	312.809
Total Nacional	Viajero	Residentes en España	2018M02	198.534
Total Nacional	Viajero	Residentes en España	2018M01	162.496
Total Nacional	Viajero	Residentes en el Extranjero	2021M08	476.545
Total Nacional	Viajero	Residentes en el Extranjero	2021M07	382.626
Total Nacional	Viajero	Residentes en el Extranjero	2021M06	149.523
Total Nacional	Viajero	Residentes en el Extranjero	2021M05	87.869
Total Nacional	Viajero	Residentes en el Extranjero	2021M04	42.018
Total Nacional	Viajero	Residentes en el Extranjero	2021M03	37.663
Total Nacional	Viajero	Residentes en el Extranjero	2021M02	28.364
Total Nacional	Viajero	Residentes en el Extranjero	2021M01	34.604
Total Nacional	Viajero	Residentes en el Extranjero	2020M12	57.709
Total Nacional	Viajero	Residentes en el Extranjero	2020M11	.
Total Nacional	Viajero	Residentes en el Extranjero	2020M10	64.226
Total Nacional	Viajero	Residentes en el Extranjero	2020M09	78.710
Total Nacional	Viajero	Residentes en el Extranjero	2020M08	216.349
Total Nacional	Viajero	Residentes en el Extranjero	2020M07	181.807
Total Nacional	Viajero	Residentes en el Extranjero	2020M06	11.393
Total Nacional	Viajero	Residentes en el Extranjero	2020M05	.
Total Nacional	Viajero	Residentes en el Extranjero	2020M04	0
Total Nacional	Viajero	Residentes en el Extranjero	2020M03	135.538
Total Nacional	Viajero	Residentes en el Extranjero	2020M02	439.491
Total Nacional	Viajero	Residentes en el Extranjero	2020M01	400.773
Total Nacional	Viajero	Residentes en el Extranjero	2019M12	424.279
Total Nacional	Viajero	Residentes en el Extranjero	2019M11	440.866
Total Nacional	Viajero	Residentes en el Extranjero	2019M10	677.303
Total Nacional	Viajero	Residentes en el Extranjero	2019M09	805.975
Total Nacional	Viajero	Residentes en el Extranjero	2019M08	1.011.163
Total Nacional	Viajero	Residentes en el Extranjero	2019M07	947.098
Total Nacional	Viajero	Residentes en el Extranjero	2019M06	811.907
Total Nacional	Viajero	Residentes en el Extranjero	2019M05	692.467
Total Nacional	Viajero	Residentes en el Extranjero	2019M04	571.214
Total Nacional	Viajero	Residentes en el Extranjero	2019M03	505.325
Total Nacional	Viajero	Residentes en el Extranjero	2019M02	426.188
Total Nacional	Viajero	Residentes en el Extranjero	2019M01	393.020
Total Nacional	Viajero	Residentes en el Extranjero	2018M12	425.134
Total Nacional	Viajero	Residentes en el Extranjero	2018M11	439.001
Total Nacional	Viajero	Residentes en el Extranjero	2018M10	680.236
Total Nacional	Viajero	Residentes en el Extranjero	2018M09	821.205
Total Nacional	Viajero	Residentes en el Extranjero	2018M08	956.557
Total Nacional	Viajero	Residentes en el Extranjero	2018M07	944.780
Total Nacional	Viajero	Residentes en el Extranjero	2018M06	814.700
Total Nacional	Viajero	Residentes en el Extranjero	2018M05	725.787
Total Nacional	Viajero	Residentes en el Extranjero	2018M04	579.242
Total Nacional	Viajero	Residentes en el Extranjero	2018M03	501.959
Total Nacional	Viajero	Residentes en el Extranjero	2018M02	434.295
Total Nacional	Viajero	Residentes en el Extranjero	2018M01	410.387
Total Nacional	Pernoctaciones	Total 	2021M08	8.878.140
Total Nacional	Pernoctaciones	Total 	2021M07	6.500.195
Total Nacional	Pernoctaciones	Total 	2021M06	2.707.351
Total Nacional	Pernoctaciones	Total 	2021M05	1.403.885
Total Nacional	Pernoctaciones	Total 	2021M04	1.000.813
Total Nacional	Pernoctaciones	Total 	2021M03	882.558
Total Nacional	Pernoctaciones	Total 	2021M02	663.126
Total Nacional	Pernoctaciones	Total 	2021M01	755.137
Total Nacional	Pernoctaciones	Total 	2020M12	953.339
Total Nacional	Pernoctaciones	Total 	2020M11	786.320
Total Nacional	Pernoctaciones	Total 	2020M10	1.147.369
Total Nacional	Pernoctaciones	Total 	2020M09	2.014.525
Total Nacional	Pernoctaciones	Total 	2020M08	5.357.047
Total Nacional	Pernoctaciones	Total 	2020M07	3.458.357
Total Nacional	Pernoctaciones	Total 	2020M06	472.348
Total Nacional	Pernoctaciones	Total 	2020M05	141.512
Total Nacional	Pernoctaciones	Total 	2020M04	0
Total Nacional	Pernoctaciones	Total 	2020M03	1.639.455
Total Nacional	Pernoctaciones	Total 	2020M02	3.953.642
Total Nacional	Pernoctaciones	Total 	2020M01	3.895.175
Total Nacional	Pernoctaciones	Total 	2019M12	4.030.890
Total Nacional	Pernoctaciones	Total 	2019M11	3.886.936
Total Nacional	Pernoctaciones	Total 	2019M10	5.340.127
Total Nacional	Pernoctaciones	Total 	2019M09	7.280.558
Total Nacional	Pernoctaciones	Total 	2019M08	11.640.089
Total Nacional	Pernoctaciones	Total 	2019M07	9.756.705
Total Nacional	Pernoctaciones	Total 	2019M06	7.031.678
Total Nacional	Pernoctaciones	Total 	2019M05	5.324.379
Total Nacional	Pernoctaciones	Total 	2019M04	4.881.787
Total Nacional	Pernoctaciones	Total 	2019M03	4.454.289
Total Nacional	Pernoctaciones	Total 	2019M02	3.860.664
Total Nacional	Pernoctaciones	Total 	2019M01	3.895.085
Total Nacional	Pernoctaciones	Total 	2018M12	4.116.011
Total Nacional	Pernoctaciones	Total 	2018M11	4.060.240
Total Nacional	Pernoctaciones	Total 	2018M10	5.791.946
Total Nacional	Pernoctaciones	Total 	2018M09	7.489.325
Total Nacional	Pernoctaciones	Total 	2018M08	11.599.826
Total Nacional	Pernoctaciones	Total 	2018M07	9.992.512
Total Nacional	Pernoctaciones	Total 	2018M06	7.141.846
Total Nacional	Pernoctaciones	Total 	2018M05	5.544.118
Total Nacional	Pernoctaciones	Total 	2018M04	4.682.942
Total Nacional	Pernoctaciones	Total 	2018M03	4.822.514
Total Nacional	Pernoctaciones	Total 	2018M02	4.089.162
Total Nacional	Pernoctaciones	Total 	2018M01	4.106.671
Total Nacional	Pernoctaciones	Residentes en España	2021M08	5.706.614
Total Nacional	Pernoctaciones	Residentes en España	2021M07	4.205.296
Total Nacional	Pernoctaciones	Residentes en España	2021M06	1.830.323
Total Nacional	Pernoctaciones	Residentes en España	2021M05	874.613
Total Nacional	Pernoctaciones	Residentes en España	2021M04	643.501
Total Nacional	Pernoctaciones	Residentes en España	2021M03	526.232
Total Nacional	Pernoctaciones	Residentes en España	2021M02	364.587
Total Nacional	Pernoctaciones	Residentes en España	2021M01	380.237
Total Nacional	Pernoctaciones	Residentes en España	2020M12	445.582
Total Nacional	Pernoctaciones	Residentes en España	2020M11	.
Total Nacional	Pernoctaciones	Residentes en España	2020M10	721.181
Total Nacional	Pernoctaciones	Residentes en España	2020M09	1.482.058
Total Nacional	Pernoctaciones	Residentes en España	2020M08	3.907.502
Total Nacional	Pernoctaciones	Residentes en España	2020M07	2.320.686
Total Nacional	Pernoctaciones	Residentes en España	2020M06	382.767
Total Nacional	Pernoctaciones	Residentes en España	2020M05	.
Total Nacional	Pernoctaciones	Residentes en España	2020M04	0
Total Nacional	Pernoctaciones	Residentes en España	2020M03	282.699
Total Nacional	Pernoctaciones	Residentes en España	2020M02	726.154
Total Nacional	Pernoctaciones	Residentes en España	2020M01	662.623
Total Nacional	Pernoctaciones	Residentes en España	2019M12	926.390
Total Nacional	Pernoctaciones	Residentes en España	2019M11	732.923
Total Nacional	Pernoctaciones	Residentes en España	2019M10	967.028
Total Nacional	Pernoctaciones	Residentes en España	2019M09	2.034.461
Total Nacional	Pernoctaciones	Residentes en España	2019M08	4.581.486
Total Nacional	Pernoctaciones	Residentes en España	2019M07	3.374.071
Total Nacional	Pernoctaciones	Residentes en España	2019M06	2.025.538
Total Nacional	Pernoctaciones	Residentes en España	2019M05	1.246.123
Total Nacional	Pernoctaciones	Residentes en España	2019M04	1.324.421
Total Nacional	Pernoctaciones	Residentes en España	2019M03	830.914
Total Nacional	Pernoctaciones	Residentes en España	2019M02	623.450
Total Nacional	Pernoctaciones	Residentes en España	2019M01	598.954
Total Nacional	Pernoctaciones	Residentes en España	2018M12	960.547
Total Nacional	Pernoctaciones	Residentes en España	2018M11	734.863
Total Nacional	Pernoctaciones	Residentes en España	2018M10	1.044.060
Total Nacional	Pernoctaciones	Residentes en España	2018M09	2.085.158
Total Nacional	Pernoctaciones	Residentes en España	2018M08	4.404.736
Total Nacional	Pernoctaciones	Residentes en España	2018M07	3.409.285
Total Nacional	Pernoctaciones	Residentes en España	2018M06	1.924.422
Total Nacional	Pernoctaciones	Residentes en España	2018M05	1.161.416
Total Nacional	Pernoctaciones	Residentes en España	2018M04	1.058.606
Total Nacional	Pernoctaciones	Residentes en España	2018M03	1.057.124
Total Nacional	Pernoctaciones	Residentes en España	2018M02	648.003
Total Nacional	Pernoctaciones	Residentes en España	2018M01	615.723
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2021M08	3.171.526
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2021M07	2.294.899
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2021M06	877.028
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2021M05	529.272
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2021M04	357.312
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2021M03	356.326
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2021M02	298.539
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2021M01	374.900
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2020M12	507.757
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2020M11	.
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2020M10	426.188
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2020M09	532.467
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2020M08	1.449.545
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2020M07	1.137.672
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2020M06	89.581
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2020M05	.
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2020M04	0
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2020M03	1.356.756
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2020M02	3.227.488
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2020M01	3.232.552
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2019M12	3.104.500
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2019M11	3.154.013
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2019M10	4.373.098
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2019M09	5.246.097
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2019M08	7.058.603
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2019M07	6.382.634
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2019M06	5.006.140
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2019M05	4.078.256
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2019M04	3.557.366
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2019M03	3.623.376
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2019M02	3.237.214
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2019M01	3.296.131
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2018M12	3.155.464
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2018M11	3.325.377
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2018M10	4.747.886
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2018M09	5.404.167
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2018M08	7.195.090
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2018M07	6.583.227
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2018M06	5.217.425
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2018M05	4.382.702
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2018M04	3.624.336
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2018M03	3.765.391
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2018M02	3.441.158
Total Nacional	Pernoctaciones	Residentes en el Extranjero	2018M01	3.490.948
01 Andalucía	Viajero	Total 	2021M08	307.523
01 Andalucía	Viajero	Total 	2021M07	259.760
01 Andalucía	Viajero	Total 	2021M06	148.689
01 Andalucía	Viajero	Total 	2021M05	82.916
01 Andalucía	Viajero	Total 	2021M04	35.545
01 Andalucía	Viajero	Total 	2021M03	34.459
01 Andalucía	Viajero	Total 	2021M02	20.053
01 Andalucía	Viajero	Total 	2021M01	27.950
01 Andalucía	Viajero	Total 	2020M12	26.751
01 Andalucía	Viajero	Total 	2020M11	12.778
01 Andalucía	Viajero	Total 	2020M10	61.892
01 Andalucía	Viajero	Total 	2020M09	107.509
01 Andalucía	Viajero	Total 	2020M08	209.506
01 Andalucía	Viajero	Total 	2020M07	153.314
01 Andalucía	Viajero	Total 	2020M06	28.014
01 Andalucía	Viajero	Total 	2020M05	3.003
01 Andalucía	Viajero	Total 	2020M04	0
01 Andalucía	Viajero	Total 	2020M03	43.487
01 Andalucía	Viajero	Total 	2020M02	155.814
01 Andalucía	Viajero	Total 	2020M01	127.999
01 Andalucía	Viajero	Total 	2019M12	149.402
01 Andalucía	Viajero	Total 	2019M11	142.559
01 Andalucía	Viajero	Total 	2019M10	214.853
01 Andalucía	Viajero	Total 	2019M09	270.154
01 Andalucía	Viajero	Total 	2019M08	353.651
01 Andalucía	Viajero	Total 	2019M07	311.052
01 Andalucía	Viajero	Total 	2019M06	281.873
01 Andalucía	Viajero	Total 	2019M05	248.628
01 Andalucía	Viajero	Total 	2019M04	242.445
01 Andalucía	Viajero	Total 	2019M03	182.686
01 Andalucía	Viajero	Total 	2019M02	152.057
01 Andalucía	Viajero	Total 	2019M01	129.256
01 Andalucía	Viajero	Total 	2018M12	153.497
01 Andalucía	Viajero	Total 	2018M11	135.389
01 Andalucía	Viajero	Total 	2018M10	200.829
01 Andalucía	Viajero	Total 	2018M09	263.944
01 Andalucía	Viajero	Total 	2018M08	325.720
01 Andalucía	Viajero	Total 	2018M07	295.470
01 Andalucía	Viajero	Total 	2018M06	250.897
01 Andalucía	Viajero	Total 	2018M05	220.076
01 Andalucía	Viajero	Total 	2018M04	212.355
01 Andalucía	Viajero	Total 	2018M03	162.337
01 Andalucía	Viajero	Total 	2018M02	128.528
01 Andalucía	Viajero	Total 	2018M01	114.660
01 Andalucía	Viajero	Residentes en España	2021M08	237.081
01 Andalucía	Viajero	Residentes en España	2021M07	197.225
01 Andalucía	Viajero	Residentes en España	2021M06	119.164
01 Andalucía	Viajero	Residentes en España	2021M05	67.784
01 Andalucía	Viajero	Residentes en España	2021M04	28.917
01 Andalucía	Viajero	Residentes en España	2021M03	29.441
01 Andalucía	Viajero	Residentes en España	2021M02	17.255
01 Andalucía	Viajero	Residentes en España	2021M01	23.861
01 Andalucía	Viajero	Residentes en España	2020M12	22.076
01 Andalucía	Viajero	Residentes en España	2020M11	9.907
01 Andalucía	Viajero	Residentes en España	2020M10	50.527
01 Andalucía	Viajero	Residentes en España	2020M09	91.894
01 Andalucía	Viajero	Residentes en España	2020M08	174.690
01 Andalucía	Viajero	Residentes en España	2020M07	128.089
01 Andalucía	Viajero	Residentes en España	2020M06	26.495
01 Andalucía	Viajero	Residentes en España	2020M05	.
01 Andalucía	Viajero	Residentes en España	2020M04	0
01 Andalucía	Viajero	Residentes en España	2020M03	17.040
01 Andalucía	Viajero	Residentes en España	2020M02	76.660
01 Andalucía	Viajero	Residentes en España	2020M01	58.007
01 Andalucía	Viajero	Residentes en España	2019M12	81.051
01 Andalucía	Viajero	Residentes en España	2019M11	63.748
01 Andalucía	Viajero	Residentes en España	2019M10	74.214
01 Andalucía	Viajero	Residentes en España	2019M09	128.706
01 Andalucía	Viajero	Residentes en España	2019M08	199.436
01 Andalucía	Viajero	Residentes en España	2019M07	160.382
01 Andalucía	Viajero	Residentes en España	2019M06	133.554
01 Andalucía	Viajero	Residentes en España	2019M05	108.080
01 Andalucía	Viajero	Residentes en España	2019M04	105.595
01 Andalucía	Viajero	Residentes en España	2019M03	82.194
01 Andalucía	Viajero	Residentes en España	2019M02	68.915
01 Andalucía	Viajero	Residentes en España	2019M01	53.847
01 Andalucía	Viajero	Residentes en España	2018M12	81.433
01 Andalucía	Viajero	Residentes en España	2018M11	59.084
01 Andalucía	Viajero	Residentes en España	2018M10	69.078
01 Andalucía	Viajero	Residentes en España	2018M09	118.900
01 Andalucía	Viajero	Residentes en España	2018M08	175.660
01 Andalucía	Viajero	Residentes en España	2018M07	149.047
01 Andalucía	Viajero	Residentes en España	2018M06	118.697
01 Andalucía	Viajero	Residentes en España	2018M05	82.629
01 Andalucía	Viajero	Residentes en España	2018M04	79.330
01 Andalucía	Viajero	Residentes en España	2018M03	77.641
01 Andalucía	Viajero	Residentes en España	2018M02	53.706
01 Andalucía	Viajero	Residentes en España	2018M01	47.166
01 Andalucía	Viajero	Residentes en el Extranjero	2021M08	70.442
01 Andalucía	Viajero	Residentes en el Extranjero	2021M07	62.535
01 Andalucía	Viajero	Residentes en el Extranjero	2021M06	29.525
01 Andalucía	Viajero	Residentes en el Extranjero	2021M05	15.133
01 Andalucía	Viajero	Residentes en el Extranjero	2021M04	6.628
01 Andalucía	Viajero	Residentes en el Extranjero	2021M03	5.018
01 Andalucía	Viajero	Residentes en el Extranjero	2021M02	2.798
01 Andalucía	Viajero	Residentes en el Extranjero	2021M01	4.088
01 Andalucía	Viajero	Residentes en el Extranjero	2020M12	4.676
01 Andalucía	Viajero	Residentes en el Extranjero	2020M11	2.871
01 Andalucía	Viajero	Residentes en el Extranjero	2020M10	11.365
01 Andalucía	Viajero	Residentes en el Extranjero	2020M09	15.615
01 Andalucía	Viajero	Residentes en el Extranjero	2020M08	34.815
01 Andalucía	Viajero	Residentes en el Extranjero	2020M07	25.225
01 Andalucía	Viajero	Residentes en el Extranjero	2020M06	1.519
01 Andalucía	Viajero	Residentes en el Extranjero	2020M05	.
01 Andalucía	Viajero	Residentes en el Extranjero	2020M04	0
01 Andalucía	Viajero	Residentes en el Extranjero	2020M03	26.447
01 Andalucía	Viajero	Residentes en el Extranjero	2020M02	79.154
01 Andalucía	Viajero	Residentes en el Extranjero	2020M01	69.992
01 Andalucía	Viajero	Residentes en el Extranjero	2019M12	68.350
01 Andalucía	Viajero	Residentes en el Extranjero	2019M11	78.812
01 Andalucía	Viajero	Residentes en el Extranjero	2019M10	140.639
01 Andalucía	Viajero	Residentes en el Extranjero	2019M09	141.448
01 Andalucía	Viajero	Residentes en el Extranjero	2019M08	154.215
01 Andalucía	Viajero	Residentes en el Extranjero	2019M07	150.670
01 Andalucía	Viajero	Residentes en el Extranjero	2019M06	148.319
01 Andalucía	Viajero	Residentes en el Extranjero	2019M05	140.548
01 Andalucía	Viajero	Residentes en el Extranjero	2019M04	136.850
01 Andalucía	Viajero	Residentes en el Extranjero	2019M03	100.492
01 Andalucía	Viajero	Residentes en el Extranjero	2019M02	83.142
01 Andalucía	Viajero	Residentes en el Extranjero	2019M01	75.409
01 Andalucía	Viajero	Residentes en el Extranjero	2018M12	72.064
01 Andalucía	Viajero	Residentes en el Extranjero	2018M11	76.305
01 Andalucía	Viajero	Residentes en el Extranjero	2018M10	131.751
01 Andalucía	Viajero	Residentes en el Extranjero	2018M09	145.044
01 Andalucía	Viajero	Residentes en el Extranjero	2018M08	150.059
01 Andalucía	Viajero	Residentes en el Extranjero	2018M07	146.423
01 Andalucía	Viajero	Residentes en el Extranjero	2018M06	132.200
01 Andalucía	Viajero	Residentes en el Extranjero	2018M05	137.447
01 Andalucía	Viajero	Residentes en el Extranjero	2018M04	133.025
01 Andalucía	Viajero	Residentes en el Extranjero	2018M03	84.697
01 Andalucía	Viajero	Residentes en el Extranjero	2018M02	74.823
01 Andalucía	Viajero	Residentes en el Extranjero	2018M01	67.494
01 Andalucía	Pernoctaciones	Total 	2021M08	1.473.695
01 Andalucía	Pernoctaciones	Total 	2021M07	1.131.646
01 Andalucía	Pernoctaciones	Total 	2021M06	499.339
01 Andalucía	Pernoctaciones	Total 	2021M05	251.215
01 Andalucía	Pernoctaciones	Total 	2021M04	131.780
01 Andalucía	Pernoctaciones	Total 	2021M03	131.002
01 Andalucía	Pernoctaciones	Total 	2021M02	85.053
01 Andalucía	Pernoctaciones	Total 	2021M01	101.117
01 Andalucía	Pernoctaciones	Total 	2020M12	101.756
01 Andalucía	Pernoctaciones	Total 	2020M11	69.720
01 Andalucía	Pernoctaciones	Total 	2020M10	206.256
01 Andalucía	Pernoctaciones	Total 	2020M09	400.840
01 Andalucía	Pernoctaciones	Total 	2020M08	977.095
01 Andalucía	Pernoctaciones	Total 	2020M07	615.848
01 Andalucía	Pernoctaciones	Total 	2020M06	86.184
01 Andalucía	Pernoctaciones	Total 	2020M05	19.388
01 Andalucía	Pernoctaciones	Total 	2020M04	0
01 Andalucía	Pernoctaciones	Total 	2020M03	230.759
01 Andalucía	Pernoctaciones	Total 	2020M02	569.192
01 Andalucía	Pernoctaciones	Total 	2020M01	474.653
01 Andalucía	Pernoctaciones	Total 	2019M12	520.624
01 Andalucía	Pernoctaciones	Total 	2019M11	520.795
01 Andalucía	Pernoctaciones	Total 	2019M10	843.560
01 Andalucía	Pernoctaciones	Total 	2019M09	1.118.366
01 Andalucía	Pernoctaciones	Total 	2019M08	1.719.128
01 Andalucía	Pernoctaciones	Total 	2019M07	1.478.992
01 Andalucía	Pernoctaciones	Total 	2019M06	1.096.456
01 Andalucía	Pernoctaciones	Total 	2019M05	888.364
01 Andalucía	Pernoctaciones	Total 	2019M04	887.975
01 Andalucía	Pernoctaciones	Total 	2019M03	661.582
01 Andalucía	Pernoctaciones	Total 	2019M02	543.211
01 Andalucía	Pernoctaciones	Total 	2019M01	486.437
01 Andalucía	Pernoctaciones	Total 	2018M12	524.989
01 Andalucía	Pernoctaciones	Total 	2018M11	514.514
01 Andalucía	Pernoctaciones	Total 	2018M10	834.625
01 Andalucía	Pernoctaciones	Total 	2018M09	1.080.437
01 Andalucía	Pernoctaciones	Total 	2018M08	1.613.861
01 Andalucía	Pernoctaciones	Total 	2018M07	1.430.729
01 Andalucía	Pernoctaciones	Total 	2018M06	1.003.652
01 Andalucía	Pernoctaciones	Total 	2018M05	839.447
01 Andalucía	Pernoctaciones	Total 	2018M04	819.059
01 Andalucía	Pernoctaciones	Total 	2018M03	672.076
01 Andalucía	Pernoctaciones	Total 	2018M02	526.859
01 Andalucía	Pernoctaciones	Total 	2018M01	453.283
01 Andalucía	Pernoctaciones	Residentes en España	2021M08	1.097.302
01 Andalucía	Pernoctaciones	Residentes en España	2021M07	845.719
01 Andalucía	Pernoctaciones	Residentes en España	2021M06	365.923
01 Andalucía	Pernoctaciones	Residentes en España	2021M05	173.817
01 Andalucía	Pernoctaciones	Residentes en España	2021M04	87.757
01 Andalucía	Pernoctaciones	Residentes en España	2021M03	85.502
01 Andalucía	Pernoctaciones	Residentes en España	2021M02	56.975
01 Andalucía	Pernoctaciones	Residentes en España	2021M01	67.583
01 Andalucía	Pernoctaciones	Residentes en España	2020M12	68.845
01 Andalucía	Pernoctaciones	Residentes en España	2020M11	43.710
01 Andalucía	Pernoctaciones	Residentes en España	2020M10	142.636
01 Andalucía	Pernoctaciones	Residentes en España	2020M09	318.840
01 Andalucía	Pernoctaciones	Residentes en España	2020M08	785.328
