,Comunidades y Ciudades Autónomas,Viajeros y pernoctaciones,Residencia,Periodo,Total
0,Total Nacional,Viajero,Total ,2021M08,1.522.343
1,Total Nacional,Viajero,Total ,2021M07,1.262.010
2,Total Nacional,Viajero,Total ,2021M06,637.306
3,Total Nacional,Viajero,Total ,2021M05,345.765
4,Total Nacional,Viajero,Total ,2021M04,205.867
5,Total Nacional,Viajero,Total ,2021M03,167.302
6,Total Nacional,Viajero,Total ,2021M02,100.139
7,Total Nacional,Viajero,Total ,2021M01,109.649
8,Total Nacional,Viajero,Total ,2020M12,153.107
9,Total Nacional,Viajero,Total ,2020M11,113.653
10,Total Nacional,Viajero,Total ,2020M10,260.193
11,Total Nacional,Viajero,Total ,2020M09,433.107
12,Total Nacional,Viajero,Total ,2020M08,964.453
13,Total Nacional,Viajero,Total ,2020M07,688.700
14,Total Nacional,Viajero,Total ,2020M06,119.485
15,Total Nacional,Viajero,Total ,2020M05,15.162
16,Total Nacional,Viajero,Total ,2020M04,0
17,Total Nacional,Viajero,Total ,2020M03,197.077
18,Total Nacional,Viajero,Total ,2020M02,682.518
19,Total Nacional,Viajero,Total ,2020M01,591.022
20,Total Nacional,Viajero,Total ,2019M12,715.779
21,Total Nacional,Viajero,Total ,2019M11,676.928
22,Total Nacional,Viajero,Total ,2019M10,987.298
23,Total Nacional,Viajero,Total ,2019M09,1.286.059
24,Total Nacional,Viajero,Total ,2019M08,1.845.564
25,Total Nacional,Viajero,Total ,2019M07,1.619.121
26,Total Nacional,Viajero,Total ,2019M06,1.356.915
27,Total Nacional,Viajero,Total ,2019M05,1.071.350
28,Total Nacional,Viajero,Total ,2019M04,962.093
29,Total Nacional,Viajero,Total ,2019M03,777.521
30,Total Nacional,Viajero,Total ,2019M02,628.221
31,Total Nacional,Viajero,Total ,2019M01,552.504
32,Total Nacional,Viajero,Total ,2018M12,705.050
33,Total Nacional,Viajero,Total ,2018M11,655.672
34,Total Nacional,Viajero,Total ,2018M10,984.904
35,Total Nacional,Viajero,Total ,2018M09,1.303.257
36,Total Nacional,Viajero,Total ,2018M08,1.734.152
37,Total Nacional,Viajero,Total ,2018M07,1.607.264
38,Total Nacional,Viajero,Total ,2018M06,1.326.290
39,Total Nacional,Viajero,Total ,2018M05,1.057.555
40,Total Nacional,Viajero,Total ,2018M04,894.266
41,Total Nacional,Viajero,Total ,2018M03,814.768
42,Total Nacional,Viajero,Total ,2018M02,632.829
43,Total Nacional,Viajero,Total ,2018M01,572.883
44,Total Nacional,Viajero,Residentes en España,2021M08,1.045.798
45,Total Nacional,Viajero,Residentes en España,2021M07,879.384
46,Total Nacional,Viajero,Residentes en España,2021M06,487.783
47,Total Nacional,Viajero,Residentes en España,2021M05,257.896
48,Total Nacional,Viajero,Residentes en España,2021M04,163.848
49,Total Nacional,Viajero,Residentes en España,2021M03,129.639
50,Total Nacional,Viajero,Residentes en España,2021M02,71.776
51,Total Nacional,Viajero,Residentes en España,2021M01,75.045
52,Total Nacional,Viajero,Residentes en España,2020M12,95.398
53,Total Nacional,Viajero,Residentes en España,2020M11,.
54,Total Nacional,Viajero,Residentes en España,2020M10,195.968
55,Total Nacional,Viajero,Residentes en España,2020M09,354.397
56,Total Nacional,Viajero,Residentes en España,2020M08,748.104
57,Total Nacional,Viajero,Residentes en España,2020M07,506.894
58,Total Nacional,Viajero,Residentes en España,2020M06,108.093
59,Total Nacional,Viajero,Residentes en España,2020M05,.
60,Total Nacional,Viajero,Residentes en España,2020M04,0
61,Total Nacional,Viajero,Residentes en España,2020M03,61.539
62,Total Nacional,Viajero,Residentes en España,2020M02,243.027
63,Total Nacional,Viajero,Residentes en España,2020M01,190.249
64,Total Nacional,Viajero,Residentes en España,2019M12,291.501
65,Total Nacional,Viajero,Residentes en España,2019M11,236.062
66,Total Nacional,Viajero,Residentes en España,2019M10,309.995
67,Total Nacional,Viajero,Residentes en España,2019M09,480.084
68,Total Nacional,Viajero,Residentes en España,2019M08,834.401
69,Total Nacional,Viajero,Residentes en España,2019M07,672.023
70,Total Nacional,Viajero,Residentes en España,2019M06,545.008
71,Total Nacional,Viajero,Residentes en España,2019M05,378.883
72,Total Nacional,Viajero,Residentes en España,2019M04,390.879
73,Total Nacional,Viajero,Residentes en España,2019M03,272.196
74,Total Nacional,Viajero,Residentes en España,2019M02,202.033
75,Total Nacional,Viajero,Residentes en España,2019M01,159.484
76,Total Nacional,Viajero,Residentes en España,2018M12,279.916
77,Total Nacional,Viajero,Residentes en España,2018M11,216.671
78,Total Nacional,Viajero,Residentes en España,2018M10,304.669
79,Total Nacional,Viajero,Residentes en España,2018M09,482.052
80,Total Nacional,Viajero,Residentes en España,2018M08,777.595
81,Total Nacional,Viajero,Residentes en España,2018M07,662.484
82,Total Nacional,Viajero,Residentes en España,2018M06,511.590
83,Total Nacional,Viajero,Residentes en España,2018M05,331.768
84,Total Nacional,Viajero,Residentes en España,2018M04,315.024
85,Total Nacional,Viajero,Residentes en España,2018M03,312.809
86,Total Nacional,Viajero,Residentes en España,2018M02,198.534
87,Total Nacional,Viajero,Residentes en España,2018M01,162.496
88,Total Nacional,Viajero,Residentes en el Extranjero,2021M08,476.545
89,Total Nacional,Viajero,Residentes en el Extranjero,2021M07,382.626
90,Total Nacional,Viajero,Residentes en el Extranjero,2021M06,149.523
91,Total Nacional,Viajero,Residentes en el Extranjero,2021M05,87.869
92,Total Nacional,Viajero,Residentes en el Extranjero,2021M04,42.018
93,Total Nacional,Viajero,Residentes en el Extranjero,2021M03,37.663
94,Total Nacional,Viajero,Residentes en el Extranjero,2021M02,28.364
95,Total Nacional,Viajero,Residentes en el Extranjero,2021M01,34.604
96,Total Nacional,Viajero,Residentes en el Extranjero,2020M12,57.709
97,Total Nacional,Viajero,Residentes en el Extranjero,2020M11,.
98,Total Nacional,Viajero,Residentes en el Extranjero,2020M10,64.226
99,Total Nacional,Viajero,Residentes en el Extranjero,2020M09,78.710
100,Total Nacional,Viajero,Residentes en el Extranjero,2020M08,216.349
101,Total Nacional,Viajero,Residentes en el Extranjero,2020M07,181.807
102,Total Nacional,Viajero,Residentes en el Extranjero,2020M06,11.393
103,Total Nacional,Viajero,Residentes en el Extranjero,2020M05,.
104,Total Nacional,Viajero,Residentes en el Extranjero,2020M04,0
105,Total Nacional,Viajero,Residentes en el Extranjero,2020M03,135.538
106,Total Nacional,Viajero,Residentes en el Extranjero,2020M02,439.491
107,Total Nacional,Viajero,Residentes en el Extranjero,2020M01,400.773
108,Total Nacional,Viajero,Residentes en el Extranjero,2019M12,424.279
109,Total Nacional,Viajero,Residentes en el Extranjero,2019M11,440.866
110,Total Nacional,Viajero,Residentes en el Extranjero,2019M10,677.303
111,Total Nacional,Viajero,Residentes en el Extranjero,2019M09,805.975
112,Total Nacional,Viajero,Residentes en el Extranjero,2019M08,1.011.163
113,Total Nacional,Viajero,Residentes en el Extranjero,2019M07,947.098
114,Total Nacional,Viajero,Residentes en el Extranjero,2019M06,811.907
115,Total Nacional,Viajero,Residentes en el Extranjero,2019M05,692.467
116,Total Nacional,Viajero,Residentes en el Extranjero,2019M04,571.214
117,Total Nacional,Viajero,Residentes en el Extranjero,2019M03,505.325
118,Total Nacional,Viajero,Residentes en el Extranjero,2019M02,426.188
119,Total Nacional,Viajero,Residentes en el Extranjero,2019M01,393.020
120,Total Nacional,Viajero,Residentes en el Extranjero,2018M12,425.134
121,Total Nacional,Viajero,Residentes en el Extranjero,2018M11,439.001
122,Total Nacional,Viajero,Residentes en el Extranjero,2018M10,680.236
123,Total Nacional,Viajero,Residentes en el Extranjero,2018M09,821.205
124,Total Nacional,Viajero,Residentes en el Extranjero,2018M08,956.557
125,Total Nacional,Viajero,Residentes en el Extranjero,2018M07,944.780
126,Total Nacional,Viajero,Residentes en el Extranjero,2018M06,814.700
127,Total Nacional,Viajero,Residentes en el Extranjero,2018M05,725.787
128,Total Nacional,Viajero,Residentes en el Extranjero,2018M04,579.242
129,Total Nacional,Viajero,Residentes en el Extranjero,2018M03,501.959
130,Total Nacional,Viajero,Residentes en el Extranjero,2018M02,434.295
131,Total Nacional,Viajero,Residentes en el Extranjero,2018M01,410.387
132,Total Nacional,Pernoctaciones,Total ,2021M08,8.878.140
133,Total Nacional,Pernoctaciones,Total ,2021M07,6.500.195
134,Total Nacional,Pernoctaciones,Total ,2021M06,2.707.351
135,Total Nacional,Pernoctaciones,Total ,2021M05,1.403.885
136,Total Nacional,Pernoctaciones,Total ,2021M04,1.000.813
137,Total Nacional,Pernoctaciones,Total ,2021M03,882.558
138,Total Nacional,Pernoctaciones,Total ,2021M02,663.126
139,Total Nacional,Pernoctaciones,Total ,2021M01,755.137
140,Total Nacional,Pernoctaciones,Total ,2020M12,953.339
141,Total Nacional,Pernoctaciones,Total ,2020M11,786.320
142,Total Nacional,Pernoctaciones,Total ,2020M10,1.147.369
143,Total Nacional,Pernoctaciones,Total ,2020M09,2.014.525
144,Total Nacional,Pernoctaciones,Total ,2020M08,5.357.047
145,Total Nacional,Pernoctaciones,Total ,2020M07,3.458.357
146,Total Nacional,Pernoctaciones,Total ,2020M06,472.348
147,Total Nacional,Pernoctaciones,Total ,2020M05,141.512
148,Total Nacional,Pernoctaciones,Total ,2020M04,0
149,Total Nacional,Pernoctaciones,Total ,2020M03,1.639.455
150,Total Nacional,Pernoctaciones,Total ,2020M02,3.953.642
151,Total Nacional,Pernoctaciones,Total ,2020M01,3.895.175
152,Total Nacional,Pernoctaciones,Total ,2019M12,4.030.890
153,Total Nacional,Pernoctaciones,Total ,2019M11,3.886.936
154,Total Nacional,Pernoctaciones,Total ,2019M10,5.340.127
155,Total Nacional,Pernoctaciones,Total ,2019M09,7.280.558
156,Total Nacional,Pernoctaciones,Total ,2019M08,11.640.089
157,Total Nacional,Pernoctaciones,Total ,2019M07,9.756.705
158,Total Nacional,Pernoctaciones,Total ,2019M06,7.031.678
159,Total Nacional,Pernoctaciones,Total ,2019M05,5.324.379
160,Total Nacional,Pernoctaciones,Total ,2019M04,4.881.787
161,Total Nacional,Pernoctaciones,Total ,2019M03,4.454.289
162,Total Nacional,Pernoctaciones,Total ,2019M02,3.860.664
163,Total Nacional,Pernoctaciones,Total ,2019M01,3.895.085
164,Total Nacional,Pernoctaciones,Total ,2018M12,4.116.011
165,Total Nacional,Pernoctaciones,Total ,2018M11,4.060.240
166,Total Nacional,Pernoctaciones,Total ,2018M10,5.791.946
167,Total Nacional,Pernoctaciones,Total ,2018M09,7.489.325
168,Total Nacional,Pernoctaciones,Total ,2018M08,11.599.826
169,Total Nacional,Pernoctaciones,Total ,2018M07,9.992.512
170,Total Nacional,Pernoctaciones,Total ,2018M06,7.141.846
171,Total Nacional,Pernoctaciones,Total ,2018M05,5.544.118
172,Total Nacional,Pernoctaciones,Total ,2018M04,4.682.942
173,Total Nacional,Pernoctaciones,Total ,2018M03,4.822.514
174,Total Nacional,Pernoctaciones,Total ,2018M02,4.089.162
175,Total Nacional,Pernoctaciones,Total ,2018M01,4.106.671
176,Total Nacional,Pernoctaciones,Residentes en España,2021M08,5.706.614
177,Total Nacional,Pernoctaciones,Residentes en España,2021M07,4.205.296
178,Total Nacional,Pernoctaciones,Residentes en España,2021M06,1.830.323
179,Total Nacional,Pernoctaciones,Residentes en España,2021M05,874.613
180,Total Nacional,Pernoctaciones,Residentes en España,2021M04,643.501
181,Total Nacional,Pernoctaciones,Residentes en España,2021M03,526.232
182,Total Nacional,Pernoctaciones,Residentes en España,2021M02,364.587
183,Total Nacional,Pernoctaciones,Residentes en España,2021M01,380.237
184,Total Nacional,Pernoctaciones,Residentes en España,2020M12,445.582
185,Total Nacional,Pernoctaciones,Residentes en España,2020M11,.
186,Total Nacional,Pernoctaciones,Residentes en España,2020M10,721.181
187,Total Nacional,Pernoctaciones,Residentes en España,2020M09,1.482.058
188,Total Nacional,Pernoctaciones,Residentes en España,2020M08,3.907.502
189,Total Nacional,Pernoctaciones,Residentes en España,2020M07,2.320.686
190,Total Nacional,Pernoctaciones,Residentes en España,2020M06,382.767
191,Total Nacional,Pernoctaciones,Residentes en España,2020M05,.
192,Total Nacional,Pernoctaciones,Residentes en España,2020M04,0
193,Total Nacional,Pernoctaciones,Residentes en España,2020M03,282.699
194,Total Nacional,Pernoctaciones,Residentes en España,2020M02,726.154
195,Total Nacional,Pernoctaciones,Residentes en España,2020M01,662.623
196,Total Nacional,Pernoctaciones,Residentes en España,2019M12,926.390
197,Total Nacional,Pernoctaciones,Residentes en España,2019M11,732.923
198,Total Nacional,Pernoctaciones,Residentes en España,2019M10,967.028
199,Total Nacional,Pernoctaciones,Residentes en España,2019M09,2.034.461
200,Total Nacional,Pernoctaciones,Residentes en España,2019M08,4.581.486
201,Total Nacional,Pernoctaciones,Residentes en España,2019M07,3.374.071
202,Total Nacional,Pernoctaciones,Residentes en España,2019M06,2.025.538
203,Total Nacional,Pernoctaciones,Residentes en España,2019M05,1.246.123
204,Total Nacional,Pernoctaciones,Residentes en España,2019M04,1.324.421
205,Total Nacional,Pernoctaciones,Residentes en España,2019M03,830.914
206,Total Nacional,Pernoctaciones,Residentes en España,2019M02,623.450
207,Total Nacional,Pernoctaciones,Residentes en España,2019M01,598.954
208,Total Nacional,Pernoctaciones,Residentes en España,2018M12,960.547
209,Total Nacional,Pernoctaciones,Residentes en España,2018M11,734.863
210,Total Nacional,Pernoctaciones,Residentes en España,2018M10,1.044.060
211,Total Nacional,Pernoctaciones,Residentes en España,2018M09,2.085.158
212,Total Nacional,Pernoctaciones,Residentes en España,2018M08,4.404.736
213,Total Nacional,Pernoctaciones,Residentes en España,2018M07,3.409.285
214,Total Nacional,Pernoctaciones,Residentes en España,2018M06,1.924.422
215,Total Nacional,Pernoctaciones,Residentes en España,2018M05,1.161.416
216,Total Nacional,Pernoctaciones,Residentes en España,2018M04,1.058.606
217,Total Nacional,Pernoctaciones,Residentes en España,2018M03,1.057.124
218,Total Nacional,Pernoctaciones,Residentes en España,2018M02,648.003
219,Total Nacional,Pernoctaciones,Residentes en España,2018M01,615.723
220,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2021M08,3.171.526
221,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2021M07,2.294.899
222,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2021M06,877.028
223,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2021M05,529.272
224,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2021M04,357.312
225,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2021M03,356.326
226,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2021M02,298.539
227,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2021M01,374.900
228,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2020M12,507.757
229,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2020M11,.
230,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2020M10,426.188
231,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2020M09,532.467
232,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2020M08,1.449.545
233,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2020M07,1.137.672
234,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2020M06,89.581
235,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2020M05,.
236,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2020M04,0
237,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2020M03,1.356.756
238,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2020M02,3.227.488
239,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2020M01,3.232.552
240,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2019M12,3.104.500
241,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2019M11,3.154.013
242,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2019M10,4.373.098
243,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2019M09,5.246.097
244,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2019M08,7.058.603
245,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2019M07,6.382.634
246,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2019M06,5.006.140
247,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2019M05,4.078.256
248,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2019M04,3.557.366
249,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2019M03,3.623.376
250,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2019M02,3.237.214
251,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2019M01,3.296.131
252,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2018M12,3.155.464
253,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2018M11,3.325.377
254,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2018M10,4.747.886
255,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2018M09,5.404.167
256,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2018M08,7.195.090
257,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2018M07,6.583.227
258,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2018M06,5.217.425
259,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2018M05,4.382.702
260,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2018M04,3.624.336
261,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2018M03,3.765.391
262,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2018M02,3.441.158
263,Total Nacional,Pernoctaciones,Residentes en el Extranjero,2018M01,3.490.948
264,01 Andalucía,Viajero,Total ,2021M08,307.523
265,01 Andalucía,Viajero,Total ,2021M07,259.760
266,01 Andalucía,Viajero,Total ,2021M06,148.689
267,01 Andalucía,Viajero,Total ,2021M05,82.916
268,01 Andalucía,Viajero,Total ,2021M04,35.545
269,01 Andalucía,Viajero,Total ,2021M03,34.459
270,01 Andalucía,Viajero,Total ,2021M02,20.053
271,01 Andalucía,Viajero,Total ,2021M01,27.950
272,01 Andalucía,Viajero,Total ,2020M12,26.751
273,01 Andalucía,Viajero,Total ,2020M11,12.778
274,01 Andalucía,Viajero,Total ,2020M10,61.892
275,01 Andalucía,Viajero,Total ,2020M09,107.509
276,01 Andalucía,Viajero,Total ,2020M08,209.506
277,01 Andalucía,Viajero,Total ,2020M07,153.314
278,01 Andalucía,Viajero,Total ,2020M06,28.014
279,01 Andalucía,Viajero,Total ,2020M05,3.003
280,01 Andalucía,Viajero,Total ,2020M04,0
281,01 Andalucía,Viajero,Total ,2020M03,43.487
282,01 Andalucía,Viajero,Total ,2020M02,155.814
283,01 Andalucía,Viajero,Total ,2020M01,127.999
284,01 Andalucía,Viajero,Total ,2019M12,149.402
285,01 Andalucía,Viajero,Total ,2019M11,142.559
286,01 Andalucía,Viajero,Total ,2019M10,214.853
287,01 Andalucía,Viajero,Total ,2019M09,270.154
288,01 Andalucía,Viajero,Total ,2019M08,353.651
289,01 Andalucía,Viajero,Total ,2019M07,311.052
290,01 Andalucía,Viajero,Total ,2019M06,281.873
291,01 Andalucía,Viajero,Total ,2019M05,248.628
292,01 Andalucía,Viajero,Total ,2019M04,242.445
293,01 Andalucía,Viajero,Total ,2019M03,182.686
294,01 Andalucía,Viajero,Total ,2019M02,152.057
295,01 Andalucía,Viajero,Total ,2019M01,129.256
296,01 Andalucía,Viajero,Total ,2018M12,153.497
297,01 Andalucía,Viajero,Total ,2018M11,135.389
298,01 Andalucía,Viajero,Total ,2018M10,200.829
299,01 Andalucía,Viajero,Total ,2018M09,263.944
300,01 Andalucía,Viajero,Total ,2018M08,325.720
301,01 Andalucía,Viajero,Total ,2018M07,295.470
302,01 Andalucía,Viajero,Total ,2018M06,250.897
303,01 Andalucía,Viajero,Total ,2018M05,220.076
304,01 Andalucía,Viajero,Total ,2018M04,212.355
305,01 Andalucía,Viajero,Total ,2018M03,162.337
306,01 Andalucía,Viajero,Total ,2018M02,128.528
307,01 Andalucía,Viajero,Total ,2018M01,114.660
308,01 Andalucía,Viajero,Residentes en España,2021M08,237.081
309,01 Andalucía,Viajero,Residentes en España,2021M07,197.225
310,01 Andalucía,Viajero,Residentes en España,2021M06,119.164
311,01 Andalucía,Viajero,Residentes en España,2021M05,67.784
312,01 Andalucía,Viajero,Residentes en España,2021M04,28.917
313,01 Andalucía,Viajero,Residentes en España,2021M03,29.441
314,01 Andalucía,Viajero,Residentes en España,2021M02,17.255
315,01 Andalucía,Viajero,Residentes en España,2021M01,23.861
316,01 Andalucía,Viajero,Residentes en España,2020M12,22.076
317,01 Andalucía,Viajero,Residentes en España,2020M11,9.907
318,01 Andalucía,Viajero,Residentes en España,2020M10,50.527
319,01 Andalucía,Viajero,Residentes en España,2020M09,91.894
320,01 Andalucía,Viajero,Residentes en España,2020M08,174.690
321,01 Andalucía,Viajero,Residentes en España,2020M07,128.089
322,01 Andalucía,Viajero,Residentes en España,2020M06,26.495
323,01 Andalucía,Viajero,Residentes en España,2020M05,.
324,01 Andalucía,Viajero,Residentes en España,2020M04,0
325,01 Andalucía,Viajero,Residentes en España,2020M03,17.040
326,01 Andalucía,Viajero,Residentes en España,2020M02,76.660
327,01 Andalucía,Viajero,Residentes en España,2020M01,58.007
328,01 Andalucía,Viajero,Residentes en España,2019M12,81.051
329,01 Andalucía,Viajero,Residentes en España,2019M11,63.748
330,01 Andalucía,Viajero,Residentes en España,2019M10,74.214
331,01 Andalucía,Viajero,Residentes en España,2019M09,128.706
332,01 Andalucía,Viajero,Residentes en España,2019M08,199.436
333,01 Andalucía,Viajero,Residentes en España,2019M07,160.382
334,01 Andalucía,Viajero,Residentes en España,2019M06,133.554
335,01 Andalucía,Viajero,Residentes en España,2019M05,108.080
336,01 Andalucía,Viajero,Residentes en España,2019M04,105.595
337,01 Andalucía,Viajero,Residentes en España,2019M03,82.194
338,01 Andalucía,Viajero,Residentes en España,2019M02,68.915
339,01 Andalucía,Viajero,Residentes en España,2019M01,53.847
340,01 Andalucía,Viajero,Residentes en España,2018M12,81.433
341,01 Andalucía,Viajero,Residentes en España,2018M11,59.084
342,01 Andalucía,Viajero,Residentes en España,2018M10,69.078
343,01 Andalucía,Viajero,Residentes en España,2018M09,118.900
344,01 Andalucía,Viajero,Residentes en España,2018M08,175.660
345,01 Andalucía,Viajero,Residentes en España,2018M07,149.047
346,01 Andalucía,Viajero,Residentes en España,2018M06,118.697
347,01 Andalucía,Viajero,Residentes en España,2018M05,82.629
348,01 Andalucía,Viajero,Residentes en España,2018M04,79.330
349,01 Andalucía,Viajero,Residentes en España,2018M03,77.641
350,01 Andalucía,Viajero,Residentes en España,2018M02,53.706
351,01 Andalucía,Viajero,Residentes en España,2018M01,47.166
352,01 Andalucía,Viajero,Residentes en el Extranjero,2021M08,70.442
353,01 Andalucía,Viajero,Residentes en el Extranjero,2021M07,62.535
354,01 Andalucía,Viajero,Residentes en el Extranjero,2021M06,29.525
355,01 Andalucía,Viajero,Residentes en el Extranjero,2021M05,15.133
356,01 Andalucía,Viajero,Residentes en el Extranjero,2021M04,6.628
357,01 Andalucía,Viajero,Residentes en el Extranjero,2021M03,5.018
358,01 Andalucía,Viajero,Residentes en el Extranjero,2021M02,2.798
359,01 Andalucía,Viajero,Residentes en el Extranjero,2021M01,4.088
360,01 Andalucía,Viajero,Residentes en el Extranjero,2020M12,4.676
361,01 Andalucía,Viajero,Residentes en el Extranjero,2020M11,2.871
362,01 Andalucía,Viajero,Residentes en el Extranjero,2020M10,11.365
363,01 Andalucía,Viajero,Residentes en el Extranjero,2020M09,15.615
364,01 Andalucía,Viajero,Residentes en el Extranjero,2020M08,34.815
365,01 Andalucía,Viajero,Residentes en el Extranjero,2020M07,25.225
366,01 Andalucía,Viajero,Residentes en el Extranjero,2020M06,1.519
367,01 Andalucía,Viajero,Residentes en el Extranjero,2020M05,.
368,01 Andalucía,Viajero,Residentes en el Extranjero,2020M04,0
369,01 Andalucía,Viajero,Residentes en el Extranjero,2020M03,26.447
370,01 Andalucía,Viajero,Residentes en el Extranjero,2020M02,79.154
371,01 Andalucía,Viajero,Residentes en el Extranjero,2020M01,69.992
372,01 Andalucía,Viajero,Residentes en el Extranjero,2019M12,68.350
373,01 Andalucía,Viajero,Residentes en el Extranjero,2019M11,78.812
374,01 Andalucía,Viajero,Residentes en el Extranjero,2019M10,140.639
375,01 Andalucía,Viajero,Residentes en el Extranjero,2019M09,141.448
376,01 Andalucía,Viajero,Residentes en el Extranjero,2019M08,154.215
377,01 Andalucía,Viajero,Residentes en el Extranjero,2019M07,150.670
378,01 Andalucía,Viajero,Residentes en el Extranjero,2019M06,148.319
379,01 Andalucía,Viajero,Residentes en el Extranjero,2019M05,140.548
380,01 Andalucía,Viajero,Residentes en el Extranjero,2019M04,136.850
381,01 Andalucía,Viajero,Residentes en el Extranjero,2019M03,100.492
382,01 Andalucía,Viajero,Residentes en el Extranjero,2019M02,83.142
383,01 Andalucía,Viajero,Residentes en el Extranjero,2019M01,75.409
384,01 Andalucía,Viajero,Residentes en el Extranjero,2018M12,72.064
385,01 Andalucía,Viajero,Residentes en el Extranjero,2018M11,76.305
386,01 Andalucía,Viajero,Residentes en el Extranjero,2018M10,131.751
387,01 Andalucía,Viajero,Residentes en el Extranjero,2018M09,145.044
388,01 Andalucía,Viajero,Residentes en el Extranjero,2018M08,150.059
389,01 Andalucía,Viajero,Residentes en el Extranjero,2018M07,146.423
390,01 Andalucía,Viajero,Residentes en el Extranjero,2018M06,132.200
391,01 Andalucía,Viajero,Residentes en el Extranjero,2018M05,137.447
392,01 Andalucía,Viajero,Residentes en el Extranjero,2018M04,133.025
393,01 Andalucía,Viajero,Residentes en el Extranjero,2018M03,84.697
394,01 Andalucía,Viajero,Residentes en el Extranjero,2018M02,74.823
395,01 Andalucía,Viajero,Residentes en el Extranjero,2018M01,67.494
396,01 Andalucía,Pernoctaciones,Total ,2021M08,1.473.695
397,01 Andalucía,Pernoctaciones,Total ,2021M07,1.131.646
398,01 Andalucía,Pernoctaciones,Total ,2021M06,499.339
399,01 Andalucía,Pernoctaciones,Total ,2021M05,251.215
400,01 Andalucía,Pernoctaciones,Total ,2021M04,131.780
401,01 Andalucía,Pernoctaciones,Total ,2021M03,131.002
402,01 Andalucía,Pernoctaciones,Total ,2021M02,85.053
403,01 Andalucía,Pernoctaciones,Total ,2021M01,101.117
404,01 Andalucía,Pernoctaciones,Total ,2020M12,101.756
405,01 Andalucía,Pernoctaciones,Total ,2020M11,69.720
406,01 Andalucía,Pernoctaciones,Total ,2020M10,206.256
407,01 Andalucía,Pernoctaciones,Total ,2020M09,400.840
408,01 Andalucía,Pernoctaciones,Total ,2020M08,977.095
409,01 Andalucía,Pernoctaciones,Total ,2020M07,615.848
410,01 Andalucía,Pernoctaciones,Total ,2020M06,86.184
411,01 Andalucía,Pernoctaciones,Total ,2020M05,19.388
412,01 Andalucía,Pernoctaciones,Total ,2020M04,0
413,01 Andalucía,Pernoctaciones,Total ,2020M03,230.759
414,01 Andalucía,Pernoctaciones,Total ,2020M02,569.192
415,01 Andalucía,Pernoctaciones,Total ,2020M01,474.653
416,01 Andalucía,Pernoctaciones,Total ,2019M12,520.624
417,01 Andalucía,Pernoctaciones,Total ,2019M11,520.795
418,01 Andalucía,Pernoctaciones,Total ,2019M10,843.560
419,01 Andalucía,Pernoctaciones,Total ,2019M09,1.118.366
420,01 Andalucía,Pernoctaciones,Total ,2019M08,1.719.128
421,01 Andalucía,Pernoctaciones,Total ,2019M07,1.478.992
422,01 Andalucía,Pernoctaciones,Total ,2019M06,1.096.456
423,01 Andalucía,Pernoctaciones,Total ,2019M05,888.364
424,01 Andalucía,Pernoctaciones,Total ,2019M04,887.975
425,01 Andalucía,Pernoctaciones,Total ,2019M03,661.582
