Mes de defunción	Covid-19	Sexo	Edad	Total
Marzo	Total	Hombres	Total	30.219
Marzo	Total	Hombres	De 0 a 49 años	844
Marzo	Total	Hombres	De 50 a 54 años	646
Marzo	Total	Hombres	De 55 a 59 años	996
Marzo	Total	Hombres	De 60 a 64 años	1.505
Marzo	Total	Hombres	De 65 a 69 años	2.122
Marzo	Total	Hombres	De 70 a 74 años	3.185
Marzo	Total	Hombres	De 75 a 79 años	4.372
Marzo	Total	Hombres	De 80 a 84 años	5.187
Marzo	Total	Hombres	De 85 a 89 años	6.180
Marzo	Total	Hombres	De 90 a 94 años	3.831
Marzo	Total	Hombres	95 y más años	1.351
Marzo	Total	Mujeres	Total	27.312
Marzo	Total	Mujeres	De 0 a 49 años	530
Marzo	Total	Mujeres	De 50 a 54 años	333
Marzo	Total	Mujeres	De 55 a 59 años	534
Marzo	Total	Mujeres	De 60 a 64 años	735
Marzo	Total	Mujeres	De 65 a 69 años	916
Marzo	Total	Mujeres	De 70 a 74 años	1.528
Marzo	Total	Mujeres	De 75 a 79 años	2.432
Marzo	Total	Mujeres	De 80 a 84 años	4.042
Marzo	Total	Mujeres	De 85 a 89 años	6.733
Marzo	Total	Mujeres	De 90 a 94 años	6.111
Marzo	Total	Mujeres	95 y más años	3.418
Marzo	Covid-19 Virus identificado	Total	Total	11.278
Marzo	Covid-19 Virus identificado	Total	De 0 a 49 años	146
Marzo	Covid-19 Virus identificado	Total	De 50 a 54 años	111
Marzo	Covid-19 Virus identificado	Total	De 55 a 59 años	219
Marzo	Covid-19 Virus identificado	Total	De 60 a 64 años	383
Marzo	Covid-19 Virus identificado	Total	De 65 a 69 años	622
Marzo	Covid-19 Virus identificado	Total	De 70 a 74 años	1.200
Marzo	Covid-19 Virus identificado	Total	De 75 a 79 años	1.958
Marzo	Covid-19 Virus identificado	Total	De 80 a 84 años	2.270
Marzo	Covid-19 Virus identificado	Total	De 85 a 89 años	2.500
Marzo	Covid-19 Virus identificado	Total	De 90 a 94 años	1.395
Marzo	Covid-19 Virus identificado	Total	95 y más años	474
Marzo	Covid-19 Virus identificado	Hombres	Total	6.891
Marzo	Covid-19 Virus identificado	Hombres	De 0 a 49 años	93
Marzo	Covid-19 Virus identificado	Hombres	De 50 a 54 años	72
Marzo	Covid-19 Virus identificado	Hombres	De 55 a 59 años	142
Marzo	Covid-19 Virus identificado	Hombres	De 60 a 64 años	283
Marzo	Covid-19 Virus identificado	Hombres	De 65 a 69 años	432
Marzo	Covid-19 Virus identificado	Hombres	De 70 a 74 años	843
Marzo	Covid-19 Virus identificado	Hombres	De 75 a 79 años	1.357
Marzo	Covid-19 Virus identificado	Hombres	De 80 a 84 años	1.456
Marzo	Covid-19 Virus identificado	Hombres	De 85 a 89 años	1.408
Marzo	Covid-19 Virus identificado	Hombres	De 90 a 94 años	635
Marzo	Covid-19 Virus identificado	Hombres	95 y más años	170
Marzo	Covid-19 Virus identificado	Mujeres	Total	4.387
Marzo	Covid-19 Virus identificado	Mujeres	De 0 a 49 años	53
Marzo	Covid-19 Virus identificado	Mujeres	De 50 a 54 años	39
Marzo	Covid-19 Virus identificado	Mujeres	De 55 a 59 años	77
Marzo	Covid-19 Virus identificado	Mujeres	De 60 a 64 años	100
Marzo	Covid-19 Virus identificado	Mujeres	De 65 a 69 años	190
Marzo	Covid-19 Virus identificado	Mujeres	De 70 a 74 años	357
Marzo	Covid-19 Virus identificado	Mujeres	De 75 a 79 años	601
Marzo	Covid-19 Virus identificado	Mujeres	De 80 a 84 años	814
Marzo	Covid-19 Virus identificado	Mujeres	De 85 a 89 años	1.092
Marzo	Covid-19 Virus identificado	Mujeres	De 90 a 94 años	760
Marzo	Covid-19 Virus identificado	Mujeres	95 y más años	304
Marzo	Covid-19 Virus no identificado (sospechoso)	Total	Total	4.147
Marzo	Covid-19 Virus no identificado (sospechoso)	Total	De 0 a 49 años	34
Marzo	Covid-19 Virus no identificado (sospechoso)	Total	De 50 a 54 años	39
Marzo	Covid-19 Virus no identificado (sospechoso)	Total	De 55 a 59 años	54
Marzo	Covid-19 Virus no identificado (sospechoso)	Total	De 60 a 64 años	86
Marzo	Covid-19 Virus no identificado (sospechoso)	Total	De 65 a 69 años	116
Marzo	Covid-19 Virus no identificado (sospechoso)	Total	De 70 a 74 años	237
Marzo	Covid-19 Virus no identificado (sospechoso)	Total	De 75 a 79 años	378
Marzo	Covid-19 Virus no identificado (sospechoso)	Total	De 80 a 84 años	658
Marzo	Covid-19 Virus no identificado (sospechoso)	Total	De 85 a 89 años	1.110
Marzo	Covid-19 Virus no identificado (sospechoso)	Total	De 90 a 94 años	962
Marzo	Covid-19 Virus no identificado (sospechoso)	Total	95 y más años	473
Marzo	Covid-19 Virus no identificado (sospechoso)	Hombres	Total	2.005
Marzo	Covid-19 Virus no identificado (sospechoso)	Hombres	De 0 a 49 años	24
Marzo	Covid-19 Virus no identificado (sospechoso)	Hombres	De 50 a 54 años	29
Marzo	Covid-19 Virus no identificado (sospechoso)	Hombres	De 55 a 59 años	44
Marzo	Covid-19 Virus no identificado (sospechoso)	Hombres	De 60 a 64 años	58
Marzo	Covid-19 Virus no identificado (sospechoso)	Hombres	De 65 a 69 años	79
Marzo	Covid-19 Virus no identificado (sospechoso)	Hombres	De 70 a 74 años	166
Marzo	Covid-19 Virus no identificado (sospechoso)	Hombres	De 75 a 79 años	251
Marzo	Covid-19 Virus no identificado (sospechoso)	Hombres	De 80 a 84 años	367
Marzo	Covid-19 Virus no identificado (sospechoso)	Hombres	De 85 a 89 años	513
Marzo	Covid-19 Virus no identificado (sospechoso)	Hombres	De 90 a 94 años	331
Marzo	Covid-19 Virus no identificado (sospechoso)	Hombres	95 y más años	143
Marzo	Covid-19 Virus no identificado (sospechoso)	Mujeres	Total	2.142
Marzo	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 0 a 49 años	10
Marzo	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 50 a 54 años	10
Marzo	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 55 a 59 años	10
Marzo	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 60 a 64 años	28
Marzo	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 65 a 69 años	37
Marzo	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 70 a 74 años	71
Marzo	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 75 a 79 años	127
Marzo	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 80 a 84 años	291
Marzo	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 85 a 89 años	597
Marzo	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 90 a 94 años	631
Marzo	Covid-19 Virus no identificado (sospechoso)	Mujeres	95 y más años	330
Marzo	Otras causas	Total	Total	42.106
Marzo	Otras causas	Total	De 0 a 49 años	1.194
Marzo	Otras causas	Total	De 50 a 54 años	829
Marzo	Otras causas	Total	De 55 a 59 años	1.257
Marzo	Otras causas	Total	De 60 a 64 años	1.771
Marzo	Otras causas	Total	De 65 a 69 años	2.300
Marzo	Otras causas	Total	De 70 a 74 años	3.276
Marzo	Otras causas	Total	De 75 a 79 años	4.468
Marzo	Otras causas	Total	De 80 a 84 años	6.301
Marzo	Otras causas	Total	De 85 a 89 años	9.303
Marzo	Otras causas	Total	De 90 a 94 años	7.585
Marzo	Otras causas	Total	95 y más años	3.822
Marzo	Otras causas	Hombres	Total	21.323
Marzo	Otras causas	Hombres	De 0 a 49 años	727
Marzo	Otras causas	Hombres	De 50 a 54 años	545
Marzo	Otras causas	Hombres	De 55 a 59 años	810
Marzo	Otras causas	Hombres	De 60 a 64 años	1.164
Marzo	Otras causas	Hombres	De 65 a 69 años	1.611
Marzo	Otras causas	Hombres	De 70 a 74 años	2.176
Marzo	Otras causas	Hombres	De 75 a 79 años	2.764
Marzo	Otras causas	Hombres	De 80 a 84 años	3.364
Marzo	Otras causas	Hombres	De 85 a 89 años	4.259
Marzo	Otras causas	Hombres	De 90 a 94 años	2.865
Marzo	Otras causas	Hombres	95 y más años	1.038
Marzo	Otras causas	Mujeres	Total	20.783
Marzo	Otras causas	Mujeres	De 0 a 49 años	467
Marzo	Otras causas	Mujeres	De 50 a 54 años	284
Marzo	Otras causas	Mujeres	De 55 a 59 años	447
Marzo	Otras causas	Mujeres	De 60 a 64 años	607
Marzo	Otras causas	Mujeres	De 65 a 69 años	689
Marzo	Otras causas	Mujeres	De 70 a 74 años	1.100
Marzo	Otras causas	Mujeres	De 75 a 79 años	1.704
Marzo	Otras causas	Mujeres	De 80 a 84 años	2.937
Marzo	Otras causas	Mujeres	De 85 a 89 años	5.044
Marzo	Otras causas	Mujeres	De 90 a 94 años	4.720
Marzo	Otras causas	Mujeres	95 y más años	2.784
Abril	Total	Total	Total	60.304
Abril	Total	Total	De 0 a 49 años	1.205
Abril	Total	Total	De 50 a 54 años	875
Abril	Total	Total	De 55 a 59 años	1.481
Abril	Total	Total	De 60 a 64 años	2.120
Abril	Total	Total	De 65 a 69 años	2.803
Abril	Total	Total	De 70 a 74 años	4.324
Abril	Total	Total	De 75 a 79 años	6.124
Abril	Total	Total	De 80 a 84 años	9.257
Abril	Total	Total	De 85 a 89 años	14.078
Abril	Total	Total	De 90 a 94 años	12.034
Abril	Total	Total	95 y más años	6.003
Abril	Total	Hombres	Total	28.860
Abril	Total	Hombres	De 0 a 49 años	782
Abril	Total	Hombres	De 50 a 54 años	594
Abril	Total	Hombres	De 55 a 59 años	955
Abril	Total	Hombres	De 60 a 64 años	1.448
Abril	Total	Hombres	De 65 a 69 años	1.920
Abril	Total	Hombres	De 70 a 74 años	2.813
Abril	Total	Hombres	De 75 a 79 años	3.751
Abril	Total	Hombres	De 80 a 84 años	4.752
Abril	Total	Hombres	De 85 a 89 años	6.130
Abril	Total	Hombres	De 90 a 94 años	4.215
Abril	Total	Hombres	95 y más años	1.500
Abril	Total	Mujeres	Total	31.444
Abril	Total	Mujeres	De 0 a 49 años	423
Abril	Total	Mujeres	De 50 a 54 años	281
Abril	Total	Mujeres	De 55 a 59 años	526
Abril	Total	Mujeres	De 60 a 64 años	672
Abril	Total	Mujeres	De 65 a 69 años	883
Abril	Total	Mujeres	De 70 a 74 años	1.511
Abril	Total	Mujeres	De 75 a 79 años	2.373
Abril	Total	Mujeres	De 80 a 84 años	4.505
Abril	Total	Mujeres	De 85 a 89 años	7.948
Abril	Total	Mujeres	De 90 a 94 años	7.819
Abril	Total	Mujeres	95 y más años	4.503
Abril	Covid-19 Virus identificado	Total	Total	18.178
Abril	Covid-19 Virus identificado	Total	De 0 a 49 años	191
Abril	Covid-19 Virus identificado	Total	De 50 a 54 años	183
Abril	Covid-19 Virus identificado	Total	De 55 a 59 años	345
Abril	Covid-19 Virus identificado	Total	De 60 a 64 años	608
Abril	Covid-19 Virus identificado	Total	De 65 a 69 años	893
Abril	Covid-19 Virus identificado	Total	De 70 a 74 años	1.465
Abril	Covid-19 Virus identificado	Total	De 75 a 79 años	2.100
Abril	Covid-19 Virus identificado	Total	De 80 a 84 años	3.051
Abril	Covid-19 Virus identificado	Total	De 85 a 89 años	4.387
Abril	Covid-19 Virus identificado	Total	De 90 a 94 años	3.487
Abril	Covid-19 Virus identificado	Total	95 y más años	1.468
Abril	Covid-19 Virus identificado	Hombres	Total	9.301
Abril	Covid-19 Virus identificado	Hombres	De 0 a 49 años	127
Abril	Covid-19 Virus identificado	Hombres	De 50 a 54 años	130
Abril	Covid-19 Virus identificado	Hombres	De 55 a 59 años	242
Abril	Covid-19 Virus identificado	Hombres	De 60 a 64 años	445
Abril	Covid-19 Virus identificado	Hombres	De 65 a 69 años	638
Abril	Covid-19 Virus identificado	Hombres	De 70 a 74 años	983
Abril	Covid-19 Virus identificado	Hombres	De 75 a 79 años	1.347
Abril	Covid-19 Virus identificado	Hombres	De 80 a 84 años	1.666
Abril	Covid-19 Virus identificado	Hombres	De 85 a 89 años	2.028
Abril	Covid-19 Virus identificado	Hombres	De 90 a 94 años	1.283
Abril	Covid-19 Virus identificado	Hombres	95 y más años	412
Abril	Covid-19 Virus identificado	Mujeres	Total	8.877
Abril	Covid-19 Virus identificado	Mujeres	De 0 a 49 años	64
Abril	Covid-19 Virus identificado	Mujeres	De 50 a 54 años	53
Abril	Covid-19 Virus identificado	Mujeres	De 55 a 59 años	103
Abril	Covid-19 Virus identificado	Mujeres	De 60 a 64 años	163
Abril	Covid-19 Virus identificado	Mujeres	De 65 a 69 años	255
Abril	Covid-19 Virus identificado	Mujeres	De 70 a 74 años	482
Abril	Covid-19 Virus identificado	Mujeres	De 75 a 79 años	753
Abril	Covid-19 Virus identificado	Mujeres	De 80 a 84 años	1.385
Abril	Covid-19 Virus identificado	Mujeres	De 85 a 89 años	2.359
Abril	Covid-19 Virus identificado	Mujeres	De 90 a 94 años	2.204
Abril	Covid-19 Virus identificado	Mujeres	95 y más años	1.056
Abril	Covid-19 Virus no identificado (sospechoso)	Total	Total	8.127
Abril	Covid-19 Virus no identificado (sospechoso)	Total	De 0 a 49 años	47
Abril	Covid-19 Virus no identificado (sospechoso)	Total	De 50 a 54 años	48
Abril	Covid-19 Virus no identificado (sospechoso)	Total	De 55 a 59 años	62
Abril	Covid-19 Virus no identificado (sospechoso)	Total	De 60 a 64 años	110
Abril	Covid-19 Virus no identificado (sospechoso)	Total	De 65 a 69 años	145
Abril	Covid-19 Virus no identificado (sospechoso)	Total	De 70 a 74 años	313
Abril	Covid-19 Virus no identificado (sospechoso)	Total	De 75 a 79 años	641
Abril	Covid-19 Virus no identificado (sospechoso)	Total	De 80 a 84 años	1.203
Abril	Covid-19 Virus no identificado (sospechoso)	Total	De 85 a 89 años	2.211
Abril	Covid-19 Virus no identificado (sospechoso)	Total	De 90 a 94 años	2.136
Abril	Covid-19 Virus no identificado (sospechoso)	Total	95 y más años	1.211
Abril	Covid-19 Virus no identificado (sospechoso)	Hombres	Total	3.318
Abril	Covid-19 Virus no identificado (sospechoso)	Hombres	De 0 a 49 años	35
Abril	Covid-19 Virus no identificado (sospechoso)	Hombres	De 50 a 54 años	36
Abril	Covid-19 Virus no identificado (sospechoso)	Hombres	De 55 a 59 años	37
Abril	Covid-19 Virus no identificado (sospechoso)	Hombres	De 60 a 64 años	72
Abril	Covid-19 Virus no identificado (sospechoso)	Hombres	De 65 a 69 años	101
Abril	Covid-19 Virus no identificado (sospechoso)	Hombres	De 70 a 74 años	186
Abril	Covid-19 Virus no identificado (sospechoso)	Hombres	De 75 a 79 años	375
Abril	Covid-19 Virus no identificado (sospechoso)	Hombres	De 80 a 84 años	569
Abril	Covid-19 Virus no identificado (sospechoso)	Hombres	De 85 a 89 años	895
Abril	Covid-19 Virus no identificado (sospechoso)	Hombres	De 90 a 94 años	716
Abril	Covid-19 Virus no identificado (sospechoso)	Hombres	95 y más años	296
Abril	Covid-19 Virus no identificado (sospechoso)	Mujeres	Total	4.809
Abril	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 0 a 49 años	12
Abril	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 50 a 54 años	12
Abril	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 55 a 59 años	25
Abril	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 60 a 64 años	38
Abril	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 65 a 69 años	44
Abril	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 70 a 74 años	127
Abril	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 75 a 79 años	266
Abril	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 80 a 84 años	634
Abril	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 85 a 89 años	1.316
Abril	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 90 a 94 años	1.420
Abril	Covid-19 Virus no identificado (sospechoso)	Mujeres	95 y más años	915
Abril	Otras causas	Total	Total	33.999
Abril	Otras causas	Total	De 0 a 49 años	967
Abril	Otras causas	Total	De 50 a 54 años	644
Abril	Otras causas	Total	De 55 a 59 años	1.074
Abril	Otras causas	Total	De 60 a 64 años	1.402
Abril	Otras causas	Total	De 65 a 69 años	1.765
Abril	Otras causas	Total	De 70 a 74 años	2.546
Abril	Otras causas	Total	De 75 a 79 años	3.383
Abril	Otras causas	Total	De 80 a 84 años	5.003
Abril	Otras causas	Total	De 85 a 89 años	7.480
Abril	Otras causas	Total	De 90 a 94 años	6.411
Abril	Otras causas	Total	95 y más años	3.324
Abril	Otras causas	Hombres	Total	16.241
Abril	Otras causas	Hombres	De 0 a 49 años	620
Abril	Otras causas	Hombres	De 50 a 54 años	428
Abril	Otras causas	Hombres	De 55 a 59 años	676
Abril	Otras causas	Hombres	De 60 a 64 años	931
Abril	Otras causas	Hombres	De 65 a 69 años	1.181
Abril	Otras causas	Hombres	De 70 a 74 años	1.644
Abril	Otras causas	Hombres	De 75 a 79 años	2.029
Abril	Otras causas	Hombres	De 80 a 84 años	2.517
Abril	Otras causas	Hombres	De 85 a 89 años	3.207
Abril	Otras causas	Hombres	De 90 a 94 años	2.216
Abril	Otras causas	Hombres	95 y más años	792
Abril	Otras causas	Mujeres	Total	17.758
Abril	Otras causas	Mujeres	De 0 a 49 años	347
Abril	Otras causas	Mujeres	De 50 a 54 años	216
Abril	Otras causas	Mujeres	De 55 a 59 años	398
Abril	Otras causas	Mujeres	De 60 a 64 años	471
Abril	Otras causas	Mujeres	De 65 a 69 años	584
Abril	Otras causas	Mujeres	De 70 a 74 años	902
Abril	Otras causas	Mujeres	De 75 a 79 años	1.354
Abril	Otras causas	Mujeres	De 80 a 84 años	2.486
Abril	Otras causas	Mujeres	De 85 a 89 años	4.273
Abril	Otras causas	Mujeres	De 90 a 94 años	4.195
Abril	Otras causas	Mujeres	95 y más años	2.532
Mayo	Total	Total	Total	34.395
Mayo	Total	Total	De 0 a 49 años	1.103
Mayo	Total	Total	De 50 a 54 años	790
Mayo	Total	Total	De 55 a 59 años	1.192
Mayo	Total	Total	De 60 a 64 años	1.644
Mayo	Total	Total	De 65 a 69 años	2.019
Mayo	Total	Total	De 70 a 74 años	2.773
Mayo	Total	Total	De 75 a 79 años	3.610
Mayo	Total	Total	De 80 a 84 años	4.972
Mayo	Total	Total	De 85 a 89 años	7.370
Mayo	Total	Total	De 90 a 94 años	6.097
Mayo	Total	Total	95 y más años	2.825
Mayo	Total	Hombres	Total	17.044
Mayo	Total	Hombres	De 0 a 49 años	682
Mayo	Total	Hombres	De 50 a 54 años	506
Mayo	Total	Hombres	De 55 a 59 años	781
Mayo	Total	Hombres	De 60 a 64 años	1.108
Mayo	Total	Hombres	De 65 a 69 años	1.351
Mayo	Total	Hombres	De 70 a 74 años	1.826
Mayo	Total	Hombres	De 75 a 79 años	2.184
Mayo	Total	Hombres	De 80 a 84 años	2.616
Mayo	Total	Hombres	De 85 a 89 años	3.225
Mayo	Total	Hombres	De 90 a 94 años	2.093
Mayo	Total	Hombres	95 y más años	672
Mayo	Total	Mujeres	Total	17.351
Mayo	Total	Mujeres	De 0 a 49 años	421
Mayo	Total	Mujeres	De 50 a 54 años	284
Mayo	Total	Mujeres	De 55 a 59 años	411
Mayo	Total	Mujeres	De 60 a 64 años	536
Mayo	Total	Mujeres	De 65 a 69 años	668
Mayo	Total	Mujeres	De 70 a 74 años	947
Mayo	Total	Mujeres	De 75 a 79 años	1.426
Mayo	Total	Mujeres	De 80 a 84 años	2.356
Mayo	Total	Mujeres	De 85 a 89 años	4.145
Mayo	Total	Mujeres	De 90 a 94 años	4.004
Mayo	Total	Mujeres	95 y más años	2.153
Mayo	Covid-19 Virus identificado	Total	Total	3.196
Mayo	Covid-19 Virus identificado	Total	De 0 a 49 años	35
Mayo	Covid-19 Virus identificado	Total	De 50 a 54 años	47
Mayo	Covid-19 Virus identificado	Total	De 55 a 59 años	77
Mayo	Covid-19 Virus identificado	Total	De 60 a 64 años	121
Mayo	Covid-19 Virus identificado	Total	De 65 a 69 años	201
Mayo	Covid-19 Virus identificado	Total	De 70 a 74 años	245
Mayo	Covid-19 Virus identificado	Total	De 75 a 79 años	309
Mayo	Covid-19 Virus identificado	Total	De 80 a 84 años	444
Mayo	Covid-19 Virus identificado	Total	De 85 a 89 años	713
Mayo	Covid-19 Virus identificado	Total	De 90 a 94 años	662
Mayo	Covid-19 Virus identificado	Total	95 y más años	342
Mayo	Covid-19 Virus identificado	Hombres	Total	1.496
Mayo	Covid-19 Virus identificado	Hombres	De 0 a 49 años	20
Mayo	Covid-19 Virus identificado	Hombres	De 50 a 54 años	35
Mayo	Covid-19 Virus identificado	Hombres	De 55 a 59 años	51
Mayo	Covid-19 Virus identificado	Hombres	De 60 a 64 años	94
Mayo	Covid-19 Virus identificado	Hombres	De 65 a 69 años	143
Mayo	Covid-19 Virus identificado	Hombres	De 70 a 74 años	167
Mayo	Covid-19 Virus identificado	Hombres	De 75 a 79 años	183
Mayo	Covid-19 Virus identificado	Hombres	De 80 a 84 años	219
Mayo	Covid-19 Virus identificado	Hombres	De 85 a 89 años	306
Mayo	Covid-19 Virus identificado	Hombres	De 90 a 94 años	209
Mayo	Covid-19 Virus identificado	Hombres	95 y más años	69
Mayo	Covid-19 Virus identificado	Mujeres	Total	1.700
Mayo	Covid-19 Virus identificado	Mujeres	De 0 a 49 años	15
Mayo	Covid-19 Virus identificado	Mujeres	De 50 a 54 años	12
Mayo	Covid-19 Virus identificado	Mujeres	De 55 a 59 años	26
Mayo	Covid-19 Virus identificado	Mujeres	De 60 a 64 años	27
Mayo	Covid-19 Virus identificado	Mujeres	De 65 a 69 años	58
Mayo	Covid-19 Virus identificado	Mujeres	De 70 a 74 años	78
Mayo	Covid-19 Virus identificado	Mujeres	De 75 a 79 años	126
Mayo	Covid-19 Virus identificado	Mujeres	De 80 a 84 años	225
Mayo	Covid-19 Virus identificado	Mujeres	De 85 a 89 años	407
Mayo	Covid-19 Virus identificado	Mujeres	De 90 a 94 años	453
Mayo	Covid-19 Virus identificado	Mujeres	95 y más años	273
Mayo	Covid-19 Virus no identificado (sospechoso)	Total	Total	758
Mayo	Covid-19 Virus no identificado (sospechoso)	Total	De 0 a 49 años	11
Mayo	Covid-19 Virus no identificado (sospechoso)	Total	De 50 a 54 años	7
Mayo	Covid-19 Virus no identificado (sospechoso)	Total	De 55 a 59 años	12
Mayo	Covid-19 Virus no identificado (sospechoso)	Total	De 60 a 64 años	20
Mayo	Covid-19 Virus no identificado (sospechoso)	Total	De 65 a 69 años	25
Mayo	Covid-19 Virus no identificado (sospechoso)	Total	De 70 a 74 años	47
Mayo	Covid-19 Virus no identificado (sospechoso)	Total	De 75 a 79 años	61
Mayo	Covid-19 Virus no identificado (sospechoso)	Total	De 80 a 84 años	121
Mayo	Covid-19 Virus no identificado (sospechoso)	Total	De 85 a 89 años	194
Mayo	Covid-19 Virus no identificado (sospechoso)	Total	De 90 a 94 años	172
Mayo	Covid-19 Virus no identificado (sospechoso)	Total	95 y más años	88
Mayo	Covid-19 Virus no identificado (sospechoso)	Hombres	Total	359
Mayo	Covid-19 Virus no identificado (sospechoso)	Hombres	De 0 a 49 años	6
Mayo	Covid-19 Virus no identificado (sospechoso)	Hombres	De 50 a 54 años	6
Mayo	Covid-19 Virus no identificado (sospechoso)	Hombres	De 55 a 59 años	6
Mayo	Covid-19 Virus no identificado (sospechoso)	Hombres	De 60 a 64 años	18
Mayo	Covid-19 Virus no identificado (sospechoso)	Hombres	De 65 a 69 años	14
Mayo	Covid-19 Virus no identificado (sospechoso)	Hombres	De 70 a 74 años	28
Mayo	Covid-19 Virus no identificado (sospechoso)	Hombres	De 75 a 79 años	37
Mayo	Covid-19 Virus no identificado (sospechoso)	Hombres	De 80 a 84 años	73
Mayo	Covid-19 Virus no identificado (sospechoso)	Hombres	De 85 a 89 años	78
Mayo	Covid-19 Virus no identificado (sospechoso)	Hombres	De 90 a 94 años	70
Mayo	Covid-19 Virus no identificado (sospechoso)	Hombres	95 y más años	23
Mayo	Covid-19 Virus no identificado (sospechoso)	Mujeres	Total	399
Mayo	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 0 a 49 años	5
Mayo	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 50 a 54 años	1
Mayo	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 55 a 59 años	6
Mayo	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 60 a 64 años	2
Mayo	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 65 a 69 años	11
Mayo	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 70 a 74 años	19
Mayo	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 75 a 79 años	24
Mayo	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 80 a 84 años	48
Mayo	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 85 a 89 años	116
Mayo	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 90 a 94 años	102
Mayo	Covid-19 Virus no identificado (sospechoso)	Mujeres	95 y más años	65
Mayo	Otras causas	Total	Total	30.441
Mayo	Otras causas	Total	De 0 a 49 años	1.057
Mayo	Otras causas	Total	De 50 a 54 años	736
Mayo	Otras causas	Total	De 55 a 59 años	1.103
Mayo	Otras causas	Total	De 60 a 64 años	1.503
Mayo	Otras causas	Total	De 65 a 69 años	1.793
Mayo	Otras causas	Total	De 70 a 74 años	2.481
Mayo	Otras causas	Total	De 75 a 79 años	3.240
Mayo	Otras causas	Total	De 80 a 84 años	4.407
Mayo	Otras causas	Total	De 85 a 89 años	6.463
Mayo	Otras causas	Total	De 90 a 94 años	5.263
Mayo	Otras causas	Total	95 y más años	2.395
Mayo	Otras causas	Hombres	Total	15.189
Mayo	Otras causas	Hombres	De 0 a 49 años	656
Mayo	Otras causas	Hombres	De 50 a 54 años	465
Mayo	Otras causas	Hombres	De 55 a 59 años	724
Mayo	Otras causas	Hombres	De 60 a 64 años	996
Mayo	Otras causas	Hombres	De 65 a 69 años	1.194
Mayo	Otras causas	Hombres	De 70 a 74 años	1.631
Mayo	Otras causas	Hombres	De 75 a 79 años	1.964
Mayo	Otras causas	Hombres	De 80 a 84 años	2.324
Mayo	Otras causas	Hombres	De 85 a 89 años	2.841
Mayo	Otras causas	Hombres	De 90 a 94 años	1.814
Mayo	Otras causas	Hombres	95 y más años	580
Mayo	Otras causas	Mujeres	Total	15.252
Mayo	Otras causas	Mujeres	De 0 a 49 años	401
Mayo	Otras causas	Mujeres	De 50 a 54 años	271
Mayo	Otras causas	Mujeres	De 55 a 59 años	379
Mayo	Otras causas	Mujeres	De 60 a 64 años	507
Mayo	Otras causas	Mujeres	De 65 a 69 años	599
Mayo	Otras causas	Mujeres	De 70 a 74 años	850
Mayo	Otras causas	Mujeres	De 75 a 79 años	1.276
Mayo	Otras causas	Mujeres	De 80 a 84 años	2.083
Mayo	Otras causas	Mujeres	De 85 a 89 años	3.622
Mayo	Otras causas	Mujeres	De 90 a 94 años	3.449
Mayo	Otras causas	Mujeres	95 y más años	1.815
