Mes de defunción	Covid-19	Sexo	Edad	Total
Total	Covid-19 Virus no identificado (sospechoso)	Hombres	De 70 a 74 años	380
Total	Covid-19 Virus no identificado (sospechoso)	Hombres	De 75 a 79 años	663
Total	Covid-19 Virus no identificado (sospechoso)	Hombres	De 80 a 84 años	1.009
Total	Covid-19 Virus no identificado (sospechoso)	Hombres	De 85 a 89 años	1.486
Total	Covid-19 Virus no identificado (sospechoso)	Hombres	De 90 a 94 años	1.117
Total	Covid-19 Virus no identificado (sospechoso)	Hombres	95 y más años	462
Total	Covid-19 Virus no identificado (sospechoso)	Mujeres	Total	7.350
Total	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 0 a 49 años	27
Total	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 50 a 54 años	23
Total	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 55 a 59 años	41
Total	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 60 a 64 años	68
Total	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 65 a 69 años	92
Total	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 70 a 74 años	217
Total	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 75 a 79 años	417
Total	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 80 a 84 años	973
Total	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 85 a 89 años	2.029
Total	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 90 a 94 años	2.153
Total	Covid-19 Virus no identificado (sospechoso)	Mujeres	95 y más años	1.310
Total	Otras causas	Total	Total	185.330
Total	Otras causas	Total	De 0 a 49 años	5.799
Total	Otras causas	Total	De 50 a 54 años	3.897
Total	Otras causas	Total	De 55 a 59 años	5.999
Total	Otras causas	Total	De 60 a 64 años	8.103
Total	Otras causas	Total	De 65 a 69 años	10.218
Total	Otras causas	Total	De 70 a 74 años	14.348
Total	Otras causas	Total	De 75 a 79 años	19.260
Total	Otras causas	Total	De 80 a 84 años	27.345
Total	Otras causas	Total	De 85 a 89 años	40.473
Total	Otras causas	Total	De 90 a 94 años	33.416
Total	Otras causas	Total	95 y más años	16.472
Total	Otras causas	Hombres	Total	92.171
Total	Otras causas	Hombres	De 0 a 49 años	3.641
Total	Otras causas	Hombres	De 50 a 54 años	2.547
Total	Otras causas	Hombres	De 55 a 59 años	3.923
Total	Otras causas	Hombres	De 60 a 64 años	5.412
Total	Otras causas	Hombres	De 65 a 69 años	6.977
Total	Otras causas	Hombres	De 70 a 74 años	9.434
Total	Otras causas	Hombres	De 75 a 79 años	11.741
Total	Otras causas	Hombres	De 80 a 84 años	14.322
Total	Otras causas	Hombres	De 85 a 89 años	17.968
Total	Otras causas	Hombres	De 90 a 94 años	12.000
Total	Otras causas	Hombres	95 y más años	4.206
Total	Otras causas	Mujeres	Total	93.159
Total	Otras causas	Mujeres	De 0 a 49 años	2.158
Total	Otras causas	Mujeres	De 50 a 54 años	1.350
Total	Otras causas	Mujeres	De 55 a 59 años	2.076
Total	Otras causas	Mujeres	De 60 a 64 años	2.691
Total	Otras causas	Mujeres	De 65 a 69 años	3.241
Total	Otras causas	Mujeres	De 70 a 74 años	4.914
Total	Otras causas	Mujeres	De 75 a 79 años	7.519
Total	Otras causas	Mujeres	De 80 a 84 años	13.023
Total	Otras causas	Mujeres	De 85 a 89 años	22.505
Total	Otras causas	Mujeres	De 90 a 94 años	21.416
Total	Otras causas	Mujeres	95 y más años	12.266
Enero	Total	Total	Total	42.681
Enero	Total	Total	De 0 a 49 años	1.383
Enero	Total	Total	De 50 a 54 años	919
Enero	Total	Total	De 55 a 59 años	1.354
Enero	Total	Total	De 60 a 64 años	1.813
Enero	Total	Total	De 65 a 69 años	2.345
Enero	Total	Total	De 70 a 74 años	3.272
Enero	Total	Total	De 75 a 79 años	4.427
Enero	Total	Total	De 80 a 84 años	6.283
Enero	Total	Total	De 85 a 89 años	9.505
Enero	Total	Total	De 90 a 94 años	7.574
Enero	Total	Total	95 y más años	3.806
Enero	Total	Hombres	Total	21.317
Enero	Total	Hombres	De 0 a 49 años	876
Enero	Total	Hombres	De 50 a 54 años	600
Enero	Total	Hombres	De 55 a 59 años	906
Enero	Total	Hombres	De 60 a 64 años	1.241
Enero	Total	Hombres	De 65 a 69 años	1.607
Enero	Total	Hombres	De 70 a 74 años	2.138
Enero	Total	Hombres	De 75 a 79 años	2.687
Enero	Total	Hombres	De 80 a 84 años	3.320
Enero	Total	Hombres	De 85 a 89 años	4.198
Enero	Total	Hombres	De 90 a 94 años	2.737
Enero	Total	Hombres	95 y más años	1.007
Enero	Total	Mujeres	Total	21.364
Enero	Total	Mujeres	De 0 a 49 años	507
Enero	Total	Mujeres	De 50 a 54 años	319
Enero	Total	Mujeres	De 55 a 59 años	448
Enero	Total	Mujeres	De 60 a 64 años	572
Enero	Total	Mujeres	De 65 a 69 años	738
Enero	Total	Mujeres	De 70 a 74 años	1.134
Enero	Total	Mujeres	De 75 a 79 años	1.740
Enero	Total	Mujeres	De 80 a 84 años	2.963
Enero	Total	Mujeres	De 85 a 89 años	5.307
Enero	Total	Mujeres	De 90 a 94 años	4.837
Enero	Total	Mujeres	95 y más años	2.799
Enero	Covid-19 Virus identificado	Total	Total	..
Enero	Covid-19 Virus identificado	Total	De 0 a 49 años	..
Enero	Covid-19 Virus identificado	Total	De 50 a 54 años	..
Enero	Covid-19 Virus identificado	Total	De 55 a 59 años	..
Enero	Covid-19 Virus identificado	Total	De 60 a 64 años	..
Enero	Covid-19 Virus identificado	Total	De 65 a 69 años	..
Enero	Covid-19 Virus identificado	Total	De 70 a 74 años	..
Enero	Covid-19 Virus identificado	Total	De 75 a 79 años	..
Enero	Covid-19 Virus identificado	Total	De 80 a 84 años	..
Enero	Covid-19 Virus identificado	Total	De 85 a 89 años	..
Enero	Covid-19 Virus identificado	Total	De 90 a 94 años	..
Enero	Covid-19 Virus identificado	Total	95 y más años	..
Enero	Covid-19 Virus identificado	Hombres	Total	..
Enero	Covid-19 Virus identificado	Hombres	De 0 a 49 años	..
Enero	Covid-19 Virus identificado	Hombres	De 50 a 54 años	..
Enero	Covid-19 Virus identificado	Hombres	De 55 a 59 años	..
Enero	Covid-19 Virus identificado	Hombres	De 60 a 64 años	..
Enero	Covid-19 Virus identificado	Hombres	De 65 a 69 años	..
Enero	Covid-19 Virus identificado	Hombres	De 70 a 74 años	..
Enero	Covid-19 Virus identificado	Hombres	De 75 a 79 años	..
Enero	Covid-19 Virus identificado	Hombres	De 80 a 84 años	..
Enero	Covid-19 Virus identificado	Hombres	De 85 a 89 años	..
Enero	Covid-19 Virus identificado	Hombres	De 90 a 94 años	..
