Comunidades autónomas,Sexo,Edad,Tipo de dato,Periodo,Total
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM51,139.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM52,1285.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2020SM53,1369.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM01,1547.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM02,1841.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM03,2192.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM04,2082.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM05,181.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM06,1662.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM07,1396.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM08,1372.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM09,1232.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM10,1247.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM11,118.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM12,1242.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM13,1166.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM14,1244.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM15,1137.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM16,1212.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM17,1115.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM18,1216.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM19,1117.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM20,1103.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM21,1028.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM22,1055.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM23,1112.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM24,1049.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM25,1039.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM26,1081.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM27,1036.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM28,1086.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM29,1297.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM30,1198.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM31,1277.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM32,1258.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM33,1198.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM34,1177.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM35,1136.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM36,1066.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM37,1061.0
Total Nacional,Total,De 80 a 84 años  ,Dato base,2021SM38,1032.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM01,911.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM02,960.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM03,1034.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM04,997.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM05,916.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM06,938.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM07,892.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM08,851.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM09,859.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM10,847.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM11,828.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM12,813.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM13,819.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM14,818.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM15,823.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM16,854.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM17,760.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM18,760.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM19,818.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM20,770.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM21,744.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM22,737.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM23,792.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM24,705.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM25,724.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM26,747.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM27,815.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM28,766.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM29,701.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM30,756.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM31,749.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM32,730.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM33,680.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM34,708.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM35,698.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM36,731.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM37,742.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM38,685.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM39,749.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM40,740.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM41,743.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM42,758.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM43,754.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM44,776.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM45,823.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM46,846.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM47,817.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM48,898.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM49,812.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM50,814.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM51,838.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2019SM52,841.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM01,903.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM02,952.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM03,1049.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM04,991.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM05,1045.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM06,931.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM07,935.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM08,891.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM09,820.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM10,911.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM11,1014.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM12,15.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM13,2539.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM14,2338.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM15,1743.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM16,1279.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM17,1027.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM18,914.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM19,854.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM20,844.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM21,810.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM22,769.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM23,722.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM24,732.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM25,719.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM26,796.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM27,763.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM28,786.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM29,783.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM30,813.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM31,878.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM32,873.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM33,844.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM34,795.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM35,866.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM36,821.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM37,878.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM38,852.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM39,921.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM40,857.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM41,911.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM42,930.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM43,986.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM44,1085.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM45,1092.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM46,1047.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM47,1067.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM48,1038.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM49,1015.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM50,972.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM51,947.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM52,945.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2020SM53,1007.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM01,1177.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM02,1269.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM03,1393.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM04,1384.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM05,1385.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM06,1168.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM07,1129.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM08,1096.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM09,1008.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM10,998.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM11,935.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM12,897.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM13,1029.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM14,896.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM15,888.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM16,938.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM17,852.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM18,946.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM19,868.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM20,841.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM21,882.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM22,785.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM23,795.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM24,819.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM25,796.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM26,821.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM27,845.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM28,858.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM29,922.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM30,932.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM31,942.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM32,954.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM33,926.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM34,901.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM35,832.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM36,830.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM37,829.0
Total Nacional,Total,De 75 a 79 años  ,Dato base,2021SM38,784.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM01,704.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM02,793.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM03,741.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM04,751.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM05,794.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM06,743.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM07,734.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM08,704.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM09,668.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM10,745.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM11,668.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM12,639.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM13,647.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM14,653.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM15,671.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM16,588.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM17,608.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM18,608.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM19,555.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM20,603.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM21,616.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM22,631.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM23,602.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM24,537.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM25,624.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM26,591.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM27,657.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM28,602.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM29,575.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM30,608.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM31,570.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM32,604.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM33,615.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM34,568.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM35,599.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM36,572.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM37,605.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM38,561.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM39,575.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM40,542.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM41,580.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM42,610.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM43,572.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM44,604.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM45,619.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM46,650.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM47,666.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM48,658.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM49,626.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM50,703.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM51,646.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2019SM52,665.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM01,704.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM02,678.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM03,767.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM04,805.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM05,716.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM06,691.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM07,696.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM08,666.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM09,618.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM10,654.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM11,757.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM12,1056.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM13,1725.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM14,1547.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM15,1198.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM16,903.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM17,772.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM18,714.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM19,690.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM20,616.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM21,630.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM22,562.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM23,615.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM24,552.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM25,544.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM26,620.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM27,612.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM28,588.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM29,587.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM30,590.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM31,636.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM32,604.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM33,623.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM34,616.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM35,616.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM36,625.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM37,647.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM38,696.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM39,633.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM40,655.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM41,692.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM42,696.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM43,760.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM44,779.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM45,814.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM46,812.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM47,785.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM48,778.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM49,762.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM50,779.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM51,744.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM52,733.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2020SM53,757.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM01,801.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM02,899.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM03,104.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM04,990.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM05,1002.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM06,887.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM07,790.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM08,799.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM09,752.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM10,736.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM11,676.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM12,726.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM13,671.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM14,677.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM15,709.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM16,686.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM17,697.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM18,709.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM19,692.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM20,652.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM21,636.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM22,603.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM23,614.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM24,639.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM25,607.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM26,603.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM27,616.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM28,655.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM29,680.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM30,645.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM31,663.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM32,717.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM33,708.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM34,667.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM35,641.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM36,713.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM37,625.0
Total Nacional,Total,De 70 a 74 años  ,Dato base,2021SM38,566.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM01,463.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM02,526.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM03,559.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM04,503.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM05,536.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM06,553.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM07,486.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM08,526.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM09,487.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM10,470.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM11,437.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM12,452.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM13,458.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM14,481.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM15,448.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM16,437.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM17,437.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM18,432.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM19,444.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM20,428.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM21,424.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM22,441.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM23,438.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM24,411.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM25,450.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM26,461.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM27,471.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM28,400.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM29,376.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM30,395.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM31,416.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM32,426.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM33,431.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM34,399.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM35,409.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM36,383.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM37,424.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM38,480.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM39,436.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM40,407.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM41,421.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM42,418.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM43,488.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM44,446.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM45,471.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM46,441.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM47,480.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM48,491.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM49,450.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM50,468.0
Total Nacional,Total,De 65 a 69 años,Dato base,2019SM51,455.0
